MEG_6963|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,1450,LSA,107,Macrolide phosphotransferases,126,Glycopeptides,32
MEG_8252|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1397,MEFC,102,Fluoroquinolone-resistant DNA topoisomerases,105,Trimethoprim,29
MEG_3993|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1332,RPOCL,96,Multi-metal RND efflux pumps,101,Aminocoumarins,27
MEG_3985|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1284,ERMF,95,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,96,Sodium resistance,18
MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,1233,FEXA,94,Drug and biocide RND efflux regulator,90,Sulfonamides,17
MEG_3991|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1156,TETQ,92,Fosfomycin thiol transferases,74,Acetate resistance,15
MEG_8443|Drugs|Pleuromutilin|Pleuromutilin-resistant_23S_rRNA_mutation|P23S|RequiresSNPConfirmation,1090,MPHG,90,Class D betalactamases,73,Peroxide resistance,14
MEG_8250|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1061,TCRA,89,Tetracycline inactivation enzymes,67,Phenolic compound resistance,10
MEG_3984|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,989,ERMC,80,Acid resistance protein,59,Chromium resistance,7
MEG_8254|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,847,OXA,68,Biocide and metal resistance protein,58,Bacitracin,4
MEG_8253|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,780,GYRA,68,Drug and biocide and metal RND efflux pumps,49,Pactamycin,4
MEG_7314|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,707,TETX,67,Arsenic resistance protein,47,Mercury resistance,3
MEG_7318|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,649,LSAE,67,Lincosamide nucleotidyltransferases,43,Mycobacterium tuberculosis-specific Drug,3
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,599,TCRB,61,Drug and biocide MFS efflux regulator,42,Tellurium resistance,1
MEG_1|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,525,FOSF,60,Lipid A modification,40,Iron resistance,1
MEG_8260|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRG,509,MEFA,42,Tetracycline resistance MFS efflux pumps,40
MEG_8|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,436,CTX,39,Zinc resistance protein,40
MEG_3986|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,421,MSRD,39,Aminoglycoside O-phosphotransferases,39
MEG_7313|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,399,MDTF,36,Nickel ABC efflux pumps,39
MEG_7320|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,394,FLOR,33,Phenicol resistance MFS efflux pumps,36
MEG_8244|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFF,325,MRPOB,33,Fosfomycin target mutation,35
MEG_7303|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,316,CUSA,31,Penicillin binding protein,34
MEG_6127|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,296,ACRB,29,MDR mutation,33
MEG_3979|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,267,ACRA,29,Multi-metal ABC efflux pumps,31
MEG_8245|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFF,263,CAT,28,Multi-biocide resistance regulator,29
MEG_3065|Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation,258,RPOC,28,Dihydrofolate reductase,29
MEG_3740|Drugs|Multi-drug_resistance|MDR_23S_rRNA_mutation|MDR23S|RequiresSNPConfirmation,252,TET36,28,Vancomycin-resistant mutation,28
MEG_3983|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,246,RPSL,27,Aminocoumarin-resistant DNA topoisomerases,27
MEG_925|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,218,PITA,27,Acid resistance regulator,27
MEG_2785|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,212,LNUG,26,Drug and biocide and metal RND efflux regulator,26
MEG_8679|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|RRL|RequiresSNPConfirmation,203,DFRA,24,Multi-metal resistance regulator,22
MEG_1617|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,160,PARC,23,Sodium resistance protein,18
MEG_1004|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,128,EVGS,23,Copper resistance regulator,17
MEG_8259|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRG,117,APH6,23,Multi-metal RND efflux regulator,17
MEG_6099|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,116,MPHN,23,Sulfonamide-resistant dihydropteroate synthases,17
MEG_12|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,111,YDEP,22,Mutant porin proteins,16
MEG_3641|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA,107,ARSBM,21,Acetate resistance protein,15
MEG_7319|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,107,ERMB,21,Penicillin binding protein regulator,15
MEG_3828|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFC,102,EMRA,21,Multi-biocide RND efflux pump,15
MEG_3989|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,101,GADW,21,Colistin-resistant mutant,13
MEG_7229|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,101,PARE,20,peroxide resistance protein,12
MEG_6139|Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC|RPOCL|RequiresSNPConfirmation,96,EPTA,20,Tetracycline transcriptional repressor,12
MEG_7312|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,93,MSBA,20,Zinc resistance regulator,11
MEG_7306|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,90,EMRR,19,Class C betalactamase regulator,10
MEG_4045|Drugs|MLS|Macrolide_phosphotransferases|MPHG,90,MODC,18,MDR 23S ribosomal RNA methyltransferase,9
MEG_6651|Metals|Copper_resistance|Copper_resistance_protein|TCRA,89,ACRF,18,Biocide and metal ABC efflux pumps,9
MEG_6115|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,87,YDEO,16,Aminoglycoside N-acetyltransferases,8
MEG_6096|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,82,APH3-DPRIME,16,Aminoglycoside efflux pumps,7
MEG_6107|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,73,CPXAR,16,Chromium resistance protein,7
MEG_3391|Drugs|betalactams|Class_B_betalactamases|IMP,72,BLAEC,16,Quinolone resistance protein Qnr,6
MEG_3648|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LSAE,67,MDTC,16,Multi-drug RND efflux pumps,6
MEG_8100|Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation,67,MECA,16,Multi-biocide resistance protein,6
MEG_6122|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,67,TCRZ,16,Tetracycline resistance MFS efflux regulator,6
MEG_2905|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,65,CUSB,15,Drug and biocide ABC efflux pumps,6
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,63,BAES,15,Drug and biocide and metal resistance regulator,5
MEG_6652|Metals|Copper_resistance|Copper_resistance_protein|TCRB,61,ARSC,15,Phenolic resistance protein,5
MEG_1000|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,61,EMRY,15,Triclosan-resistant mutation,5
MEG_3021|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSF,60,EMRK,15,Multi-biocide SMR efflux pump,4
MEG_6132|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,60,TOLC,15,Undecaprenyl pyrophosphate phosphatase,4
MEG_6129|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,60,GADE,15,Streptogramin A O-acetyltransferase,4
MEG_6108|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,56,GADX,15,Pactamycin-resistant 16S ribosomal subunit protein,4
MEG_6135|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,56,ZNUA,15,VanD-type resistance protein,3
MEG_7301|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,48,PTSL,14,Pyrazinamide-resistant mutant,3
MEG_6118|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,48,TETL,14,Rifampin phosphotransferase,3
MEG_6130|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,48,NIKB,14,Mercury resistance protein,2
MEG_7302|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,48,ERMX,14,Peroxide resistance stress protein,2
MEG_6121|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,47,OMPFB,14,Macrolide esterases,2
MEG_7307|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,45,SILP,13,Arsenic resistance regulator,2
MEG_5255|Drugs|betalactams|Class_D_betalactamases|OXA,45,GADA,13,Tellurium resistance protein,1
MEG_2833|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,44,TETO,13,Mercury resistance regulator,1
MEG_2821|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,38,LPDT,13,Multi-biocide ABC efflux pump,1
MEG_7238|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,38,EMRB,13,Iron resistance protein,1
MEG_3752|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF,36,PMRAR,13,Drug and biocide MATE efflux pumps,1
MEG_7315|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,36,MDTE,13
MEG_2808|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,35,FOSE,12
MEG_2829|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,34,UGD,12
MEG_6136|Drugs|Multi-drug_resistance|MDR_mutation|MRPOB|RequiresSNPConfirmation,33,MPHB,12
MEG_2446|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSA,31,MNTR,12
MEG_6131|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,31,TETR,12
MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,29,MGTA,12
MEG_7104|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,29,TETG,12
MEG_7317|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,29,NIKA,12
MEG_399|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA,29,GYRB,12
MEG_6138|Drugs|Glycopeptides|Vancomycin-resistant_mutation|RPOC|RequiresSNPConfirmation,28,EVGA,12
MEG_6979|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET36,28,NHAB,12
MEG_4074|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD,28,YIEF,11
MEG_5787|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|PITA,27,PBP4B,11
MEG_8678|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RPSL|RequiresSNPConfirmation,26,PSTB,11
MEG_1549|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT,26,ZNUC,11
MEG_3620|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUG,26,CUSF,11
MEG_7321|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,25,CUEO,11
MEG_6120|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,25,ARSRM,11
MEG_8068|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,24,BAER,11
MEG_7305|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,23,ERM,10
MEG_4051|Drugs|MLS|Macrolide_phosphotransferases|MPHN,23,UHPT,10
MEG_7820|Biocides|Acid_resistance|Acid_resistance_protein|YDEP,22,CUTE,10
MEG_6126|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,22,ROBA,10
MEG_7309|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,22,ACRE,10
MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,21,MARA,10
MEG_3824|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,21,AMPCR,10
MEG_7227|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,21,MURA,10
MEG_3081|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW,21,ACRD,10
MEG_2739|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|EPTA,20,ACRR,9
MEG_5323|Drugs|Pleuromutilin|Pleuromutilin-resistant_23S_rRNA_mutation|P23S|RequiresSNPConfirmation,20,GLPF,9
MEG_8718|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,20,MDTG,9
MEG_4061|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MSBA,20,MDTP,9
MEG_7304|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,19,MARR,9
MEG_2722|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRA,19,FOLP,9
MEG_2734|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EMRR,19,CATA,8
MEG_3213|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,19,TCRY,8
MEG_2903|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,19,ZNUB,8
MEG_2435|Drugs|betalactams|Class_A_betalactamases|CTX,18,PMRF,8
MEG_1001|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,18,PSTA,8
MEG_6111|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,18,PSTS,8
MEG_1150|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,17,MDTO,8
MEG_6094|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,17,AAC3,8
MEG_7145|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,17,BLAI,8
MEG_763|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,17,MODB,8
MEG_7819|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|YDEO,16,CUSC,8
MEG_6123|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,16,GADB,8
MEG_3749|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTC,16,CORC,8
MEG_6128|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,16,CUTF,7
MEG_6654|Metals|Copper_resistance|Copper_resistance_protein|TCRZ,16,MNTH,7
MEG_2447|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSB,15,ZUPT,7
MEG_6097|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,15,BLAR,7
MEG_1154|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,15,TEHA,7
MEG_2736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY,15,ACRS,7
MEG_7112|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,15,KDPE,7
MEG_3080|Biocides|Acid_resistance|Acid_resistance_regulator|GADE,15,FIEF,7
MEG_3083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADX,15,SILA,7
MEG_1086|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,15,NFSA,7
MEG_5819|Drugs|Fosfomycin|Fosfomycin_target_mutation|PTSL|RequiresSNPConfirmation,14,TEHB,6
MEG_995|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,14,TETB,6
MEG_4168|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKB,14,YCHH,6
MEG_1193|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES,14,QNRS,6
MEG_4289|Drugs|betalactams|Mutant_porin_proteins|OMPFB|RequiresSNPConfirmation,14,MDTA,6
MEG_409|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,14,RUVB,6
MEG_998|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,14,NIKD,6
MEG_2783|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,13,SPM,6
MEG_3226|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,13,YJCG,6
MEG_3076|Biocides|Acid_resistance|Acid_resistance_protein|GADA,13,CUSS,6
MEG_6133|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,13,SILC,6
MEG_3622|Biocides|Acetate_resistance|Acetate_resistance_protein|LPDT,13,ZITB,6
MEG_2732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,13,TETRM,6
MEG_8634|Drugs|Lipopeptides|Colistin-resistant_mutant|PMRAR|RequiresSNPConfirmation,13,YOGI,6
MEG_3751|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTE,13,CUSR,5
MEG_7328|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|UGD,12,ARIR,5
MEG_4000|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MNTR,12,YGIW,5
MEG_4167|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKA,12,FETB,5
MEG_2867|Biocides|Acid_resistance|Acid_resistance_regulator|EVGA,12,RCNA,5
MEG_4164|Metals|Sodium_resistance|Sodium_resistance_protein|NHAB,12,NIKC,5
MEG_7263|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,12,CORA,5
MEG_2430|Drugs|betalactams|Class_A_betalactamases|CTX,11,BPU,5
MEG_7835|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YIEF,11,SOXRB,5
