Statistics
ARG_NUM_OF_READS,187064
ARG_READ_LENGTH_MEAN,3144.1902022837103
ARG_READ_LENGTH_MEDIAN,3448.0
ARG_READ_LENGTH_RANGE,"(59, 372545)"
ARG_READ_LENGTH_STD_DEV,1872.6363838210832
ARG_READ_LENGTH_VARIANCE,3506767.026010503
ARG_READ_LENGTH_SKEW,70.98304057683674
ARG_READ_LENGTH_KURTOSIS,12409.924519724365
ARG_NO_OUTLIERS_4_STDV_NUM_OF_READS,179173
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEAN,3199
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEDIAN,3483
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_RANGE,"(453, 6438)"
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_STD_DEV,1226.1329454834822
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_VARIANCE,1503402
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_SKEW,-0.5693580072763321
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_KURTOSIS,-0.449043092319263
Resistome
MEGARes Gene Header,Num Reads,Group,Num Reads,Mechanism,Num Reads,Class,Num Reads
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,37624,MLS23S,99227,Aminoglycoside-resistant 16S ribosomal subunit protein,103761,Aminoglycosides,104344
MEG_3990|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,19065,A16S,64219,Macrolide-resistant 23S rRNA mutation,99227,MLS,101370
MEG_8680|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRS|RequiresSNPConfirmation,17773,O23S,37624,Oxazolidinone-resistant 23S rRNA mutation,37827,Oxazolidinone,37827
MEG_8249|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,15611,RRS,17773,Tetracycline-resistant 16S ribosomal subunit protein,4043,Tetracyclines,4585
MEG_3977|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,14654,RRSA,12704,Cationic peptide-resistant 16S ribosomal subunit protein,3362,Cationic antimicrobial peptides,3402
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,14608,RRSH,5624,EF-Tu inhibition,3070,Elfamycins,3070
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,13732,TET16S,4043,Rifampin-resistant beta-subunit of RNA polymerase RpoB,1544,Rifampin,1547
MEG_6145|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation,12704,RRSC,3415,Pleuromutilin-resistant 23S rRNA mutation,1110,Pleuromutilin,1110
MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,11499,CAP16S,3362,Streptothricin acetyltransferase,881,Drug and biocide resistance,921
MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,10347,TUFAB,3070,MLS resistance ABC efflux pumps,773,Nucleosides,881
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,8368,RPOB,1465,MLS resistance MFS efflux pumps,737,betalactams,713
MEG_3975|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,8319,P23S,1110,Aminoglycoside O-nucleotidyltransferases,528,Multi-drug resistance,431
MEG_3980|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,7348,SAT,881,23S rRNA methyltransferases,458,Fusidic acid,326
MEG_6147|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation,5624,MSRG,626,Drug and biocide SMR efflux pumps,436,Multi-metal resistance,302
MEG_8251|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,4498,MEFF,588,Tetracycline resistance ribosomal protection proteins,417,Phenicol,248
MEG_3978|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,4471,FUSA,325,Fusidic acid-resistant mutation,326,Copper resistance,229
MEG_3992|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,3791,ANT3-DPRIME,284,MDR 23S rRNA mutation,252,Fluoroquinolones,111
MEG_6146|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation,3415,MDR23S,252,Class A betalactamases,235,Fosfomycin,109
MEG_1490|Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation,3362,ERMA,234,Chloramphenicol acetyltransferases,212,Lipopeptides,109
MEG_3988|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,3290,RRL,203,Copper resistance protein,212,Acid resistance,86
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,2749,CATB,176,Class C betalactamases,202,Drug and biocide and metal resistance,80
MEG_3982|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2626,TETW,158,Drug and biocide MFS efflux pumps,179,Biocide and metal resistance,68
MEG_6964|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,2593,ANT9,128,Drug and biocide RND efflux pumps,167,Multi-biocide resistance,56
MEG_3976|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2212,IMP,122,Multi-metal resistance protein,131,Zinc resistance,51
MEG_3987|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1848,ANT6,116,Multi-drug ABC efflux pumps,130,Arsenic resistance,49
MEG_3994|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1550,TETM,113,Class B betalactamases,128,Nickel resistance,40
