Statistics
ARG_NUM_OF_READS,68925
ARG_READ_LENGTH_MEAN,3683.1159521218715
ARG_READ_LENGTH_MEDIAN,3816
ARG_READ_LENGTH_RANGE,"(107, 84515)"
ARG_READ_LENGTH_STD_DEV,1313.9438762751722
ARG_READ_LENGTH_VARIANCE,1726448.510001025
ARG_READ_LENGTH_SKEW,4.034706722898747
ARG_READ_LENGTH_KURTOSIS,218.86866296012616
ARG_NO_OUTLIERS_4_STDV_NUM_OF_READS,62789
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEAN,3796
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEDIAN,3865
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_RANGE,"(1457, 6175)"
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_STD_DEV,860.7334082048866
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_VARIANCE,740862
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_SKEW,-0.4169311013382539
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_KURTOSIS,0.15301486982903612
Resistome
MEGARes Gene Header,Num Reads,Group,Num Reads,Mechanism,Num Reads,Class,Num Reads
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,13400,MLS23S,35336,Macrolide-resistant 23S rRNA mutation,35336,MLS,35886
MEG_3990|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,7097,A16S,21763,Aminoglycoside-resistant 16S ribosomal subunit protein,35103,Aminoglycosides,35322
MEG_8680|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRS|RequiresSNPConfirmation,6521,O23S,13400,Oxazolidinone-resistant 23S rRNA mutation,13427,Oxazolidinone,13427
MEG_3978|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,5721,RRS,6521,Tetracycline resistance ribosomal protection proteins,2915,Tetracyclines,4406
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,5340,RRSA,3607,Tetracycline-resistant 16S ribosomal subunit protein,1439,Drug and biocide resistance,1567
MEG_3988|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,5267,RRSC,1865,Rifampin-resistant beta-subunit of RNA polymerase RpoB,987,Multi-metal resistance,1007
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,5034,TET16S,1439,EF-Tu inhibition,943,Rifampin,988
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,4314,RRSH,1331,Cationic peptide-resistant 16S ribosomal subunit protein,757,Elfamycins,943
MEG_6145|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation,3607,TETQ,1187,Drug and biocide RND efflux pumps,668,Cationic antimicrobial peptides,897
MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,3229,TUFAB,943,Multi-metal resistance protein,453,betalactams,410
MEG_3975|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2707,RPOB,913,Drug and biocide RND efflux regulator,400,Acid resistance,375
MEG_3977|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2490,CAP16S,757,MLS resistance MFS efflux pumps,392,Biocide and metal resistance,374
MEG_8249|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2399,TETO,692,Drug and biocide MFS efflux pumps,303,Arsenic resistance,311
MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,2185,TETW,639,Biocide and metal resistance protein,289,Zinc resistance,231
MEG_6146|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation,1865,MEFA,366,Arsenic resistance protein,286,Copper resistance,208
MEG_3992|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1847,TET40,237,Acid resistance protein,277,Glycopeptides,195
MEG_8251|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1502,RPOC,195,Multi-metal RND efflux pumps,206,Multi-biocide resistance,190
MEG_6147|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation,1331,P23S,179,Vancomycin-resistant mutation,195,Drug and biocide and metal resistance,186
MEG_3985|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1149,ACRF,109,Copper resistance protein,183,Pleuromutilin,179
MEG_3980|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1145,MDTF,109,Aminoglycoside O-nucleotidyltransferases,182,Sodium resistance,137
MEG_6964|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,1097,ACRB,104,Pleuromutilin-resistant 23S rRNA mutation,179,Lipopeptides,130
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,849,OXA,99,Zinc resistance protein,149,Peroxide resistance,119
MEG_1490|Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation,757,ACRA,97,Lipid A modification,140,Fluoroquinolones,119
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,683,CPXAR,80,Sodium resistance protein,137,Fosfomycin,93
MEG_3994|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,655,TET44,80,Multi-metal resistance regulator,137,Acetate resistance,87
MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,442,PSTC,78,Multi-metal ABC efflux pumps,124,Multi-drug resistance,75
MEG_3987|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,416,PSTS,77,Fluoroquinolone-resistant DNA topoisomerases,118,Fusidic acid,59
MEG_3976|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,373,ACRE,77,Multi-biocide resistance regulator,107,Phenolic compound resistance,47
MEG_3982|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,365,CUSA,76,Drug and biocide and metal RND efflux pumps,99,Sulfonamides,34
MEG_8252|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,343,EVGS,76,Class D betalactamases,99,Nickel resistance,28
MEG_6963|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,342,ACRR,76,Acid resistance regulator,98,Pactamycin,23
MEG_3817|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,308,LPDT,75,Drug and biocide MFS efflux regulator,94,Aminocoumarins,23
MEG_3991|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,279,MGTA,75,Fosfomycin target mutation,91,Bacitracin,19
MEG_3993|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,277,RPOCL,74,Multi-metal RND efflux regulator,87,Trimethoprim,16
MEG_8254|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,266,LNUC,72,Acetate resistance protein,87,Chromium resistance,15
MEG_6131|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,259,MDTE,70,Biocide and metal ABC efflux pumps,85,Phenicol,12
MEG_8250|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,246,EMRK,69,Zinc resistance regulator,82,Tellurium resistance,1
MEG_3984|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,223,EMRY,69,Lincosamide nucleotidyltransferases,80
MEG_8253|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,220,EPTA,69,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,74
MEG_7229|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,214,NHAB,68,Penicillin binding protein,70
MEG_6138|Drugs|Glycopeptides|Vancomycin-resistant_mutation|RPOC|RequiresSNPConfirmation,195,PSTA,65,Drug and biocide and metal RND efflux regulator,68
MEG_6991|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,186,TET32,62,Peroxide resistance stress protein,66
MEG_8|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,182,DSBB,62,Mutant porin proteins,62
MEG_3986|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,177,GADA,60,Class A betalactamases,60
MEG_8443|Drugs|Pleuromutilin|Pleuromutilin-resistant_23S_rRNA_mutation|P23S|RequiresSNPConfirmation,167,MODC,59,Fusidic acid-resistant mutation,59
MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,164,FUSA,59,Colistin-resistant mutant,56
MEG_1|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,163,GADW,58,Drug and biocide SMR efflux pumps,55
MEG_6121|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,155,FIEF,57,peroxide resistance protein,53
MEG_7154|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,153,YDEP,57,Class C betalactamases,49
MEG_7307|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,151,GYRA,56,Multi-biocide SMR efflux pump,39
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,150,PMRAR,56,Class C betalactamase regulator,37
MEG_7318|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,138,PSTB,55,Multi-drug ABC efflux pumps,34
