Statistics
ARG_NUM_OF_READS,187795
ARG_READ_LENGTH_MEAN,3755.008472004047
ARG_READ_LENGTH_MEDIAN,3837
ARG_READ_LENGTH_RANGE,"(68, 248423)"
ARG_READ_LENGTH_STD_DEV,1965.3265959558812
ARG_READ_LENGTH_VARIANCE,3862508.628771532
ARG_READ_LENGTH_SKEW,37.65732185093275
ARG_READ_LENGTH_KURTOSIS,3646.4511619236473
ARG_NO_OUTLIERS_4_STDV_NUM_OF_READS,182448
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEAN,3680
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEDIAN,3823.0
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_RANGE,"(578, 7096)"
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_STD_DEV,1255.996417192342
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_VARIANCE,1577527
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_SKEW,-0.40898679090269013
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_KURTOSIS,-0.24059689055622124
Resistome
MEGARes Gene Header,Num Reads,Group,Num Reads,Mechanism,Num Reads,Class,Num Reads
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,23950,MLS23S,59185,Aminoglycoside-resistant 16S ribosomal subunit protein,59992,MLS,76922
MEG_8680|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRS|RequiresSNPConfirmation,13094,A16S,35849,Macrolide-resistant 23S rRNA mutation,59185,Aminoglycosides,64980
MEG_3990|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,9979,O23S,23950,Oxazolidinone-resistant 23S rRNA mutation,24084,Tetracyclines,24867
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,9520,RRS,13094,Tetracycline resistance ribosomal protection proteins,18111,Oxazolidinone,24084
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,8592,TETQ,7935,Drug and biocide RND efflux pumps,6498,Drug and biocide resistance,18322
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,7944,RRSA,6771,MLS resistance MFS efflux pumps,6145,Multi-metal resistance,14205
MEG_3978|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,7420,RPOB,4812,Multi-metal resistance protein,5073,Rifampin,4869
MEG_6145|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation,6771,TUFAB,4244,MLS resistance ABC efflux pumps,4975,betalactams,4808
MEG_8249|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,6363,MSRG,3290,Rifampin-resistant beta-subunit of RNA polymerase RpoB,4866,Acid resistance,4271
MEG_3975|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,6354,RRSH,3005,Drug and biocide MFS efflux pumps,4394,Copper resistance,4263
MEG_3977|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,5413,MEFF,2922,Multi-metal RND efflux pumps,4247,Elfamycins,4244
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,5286,TETW,2835,EF-Tu inhibition,4244,Biocide and metal resistance,3483
MEG_3988|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,5039,MEFA,2666,23S rRNA methyltransferases,4080,Drug and biocide and metal resistance,3408
MEG_3992|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,4349,TET16S,2635,Drug and biocide RND efflux regulator,4073,Arsenic resistance,3178
MEG_3980|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,4340,TETO,2632,Copper resistance protein,3684,Zinc resistance,2910
MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,4239,TETX,2554,Aminoglycoside O-nucleotidyltransferases,3639,Multi-biocide resistance,2328
MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,3365,ERMF,2031,Acid resistance protein,3045,Cationic antimicrobial peptides,2286
MEG_6147|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation,3005,TETM,1893,Arsenic resistance protein,2995,Phenicol,2087
MEG_8260|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRG,2825,FLOR,1741,Tetracycline-resistant 16S ribosomal subunit protein,2635,Peroxide resistance,1459
MEG_6964|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,2388,ANT3-DPRIME,1598,Tetracycline inactivation enzymes,2554,Fluoroquinolones,1431
MEG_3994|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2267,TET40,1371,Drug and biocide and metal RND efflux pumps,2436,Fosfomycin,1282
MEG_7238|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,2139,ANT6,1163,Multi-metal ABC efflux pumps,2349,Nickel resistance,1257
MEG_3982|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2097,CAP16S,1110,Biocide and metal resistance protein,2347,Sodium resistance,1138
MEG_3817|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,1843,RRSC,1107,Zinc resistance protein,1903,Multi-drug resistance,1106
MEG_8244|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFF,1600,MODC,1070,Phenicol resistance MFS efflux pumps,1743,Acetate resistance,972
MEG_3985|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1401,CUSA,1070,Class A betalactamases,1626,Lipopeptides,811
MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,1335,ACRB,1010,Macrolide phosphotransferases,1567,Trimethoprim,771
MEG_8245|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFF,1322,EVGS,998,Drug and biocide MFS efflux regulator,1479,Sulfonamides,639
MEG_8251|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1195,MDTF,994,Fluoroquinolone-resistant DNA topoisomerases,1431,Glycopeptides,623
