MEG_3752|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF,548,ACRA,320,Lipid A modification,392,Fusidic acid,64
MEG_3982|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,542,EMRK,319,Zinc resistance regulator,390,Bacitracin,52
MEG_6991|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,528,LPDT,318,Acetate resistance protein,382,Trimethoprim,45
MEG_8716|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,512,YDEP,316,Biocide and metal ABC efflux pumps,378,Pactamycin,22
MEG_8252|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,462,PSTC,307,Multi-metal RND efflux regulator,320,Phenicol,11
MEG_3751|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTE,450,ACRE,302,Class A betalactamases,310,Paraquat resistance,2
MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,428,PSTA,299,Drug and biocide and metal RND efflux regulator,308,Tellurium resistance,2
MEG_3987|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,426,EVGA,284,Peroxide resistance stress protein,270,Mercury resistance,1
MEG_3993|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,398,TET32,282,peroxide resistance protein,243
MEG_6963|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,397,MGTA,264,Multi-drug ABC efflux pumps,238
MEG_2446|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSA,375,PSTS,260,Drug and biocide SMR efflux pumps,236
MEG_1004|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,369,TET44,259,Nickel ABC efflux pumps,236
MEG_3080|Biocides|Acid_resistance|Acid_resistance_regulator|GADE,367,ZRAR,255,Penicillin binding protein,199
MEG_8443|Drugs|Pleuromutilin|Pleuromutilin-resistant_23S_rRNA_mutation|P23S|RequiresSNPConfirmation,358,CUSF,249,Sulfonamide-resistant dihydropteroate synthases,193
MEG_2447|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSB,349,MDTO,247,Mutant porin proteins,190
MEG_3610|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC,341,GADW,245,Multi-biocide RND efflux pump,170
MEG_3976|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,339,ZRAS,244,Class C betalactamases,166
MEG_3991|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,329,ACRR,244,Colistin-resistant mutant,159
MEG_7150|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,325,NHAB,242,Multi-biocide SMR efflux pump,139
MEG_399|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA,320,GYRA,241,Phenolic resistance protein,139
MEG_3622|Biocides|Acetate_resistance|Acetate_resistance_protein|LPDT,318,MSBA,236,Copper resistance regulator,138
MEG_7820|Biocides|Acid_resistance|Acid_resistance_protein|YDEP,316,YDEO,232,MLS resistance ABC efflux pumps,129
MEG_5815|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTC,307,PSTB,232,Drug and biocide MATE efflux pumps,128
MEG_408|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRE,302,GADX,231,Drug and biocide ABC efflux pumps,124
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,301,GADA,225,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,108
MEG_5813|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTA,299,EPTA,224,Multi-biocide resistance protein,105
MEG_3984|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,297,GADC,224,Aminocoumarin-resistant DNA topoisomerases,103
MEG_7227|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,294,MODB,219,Tetracycline resistance MFS efflux pumps,100
MEG_8250|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,292,CUSC,214,Chromium resistance protein,97
MEG_409|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,287,ACRS,209,23S rRNA methyltransferases,92
MEG_2867|Biocides|Acid_resistance|Acid_resistance_regulator|EVGA,284,EMRA,208,Class C betalactamase regulator,86
MEG_8|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,276,PTSL,205,Triclosan-resistant mutation,82
MEG_2732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,267,CUEO,197,Class D betalactamases,81
MEG_2736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY,266,FOLP,193,Macrolide phosphotransferases,73
MEG_8253|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,261,MURA,192,Vancomycin-resistant mutation,73
MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,261,FETB,187,Multi-drug RND efflux pumps,72
MEG_8254|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,258,PITA,184,MDR 23S rRNA mutation,71
MEG_7149|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,257,FETA,181,Fusidic acid-resistant mutation,64
MEG_7302|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,254,ZNUA,180,Drug and biocide and metal resistance regulator,61
MEG_2451|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSF,249,CFX,179,Undecaprenyl pyrophosphate phosphatase,52
MEG_7862|Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR,248,GLPF,179,Dihydrofolate reductase,45
MEG_3764|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTO,247,TOLC,170,Arsenic resistance regulator,45
MEG_411|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,244,NHAA,169,Class B betalactamases,44
MEG_7301|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,243,GADB,166,Tetracycline inactivation enzymes,32
MEG_6135|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,243,ZNUB,165,Aminoglycoside efflux pumps,30
MEG_3081|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW,242,MNTH,164,Multi-drug RND efflux regulator,28
MEG_7864|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|ZRAS,241,DSBB,163,Aminoglycoside O-phosphotransferases,26
MEG_2121|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,236,ROBA,161,Pactamycin-resistant 16S ribosomal subunit protein,22
MEG_4061|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MSBA,236,BLAEC,159,Nickel ABC efflux regulator,10
MEG_5816|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTS,234,BAES,159,Aminoglycoside N-acetyltransferases,9
MEG_7179|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,232,PMRAR,159,VanC-type regulator,5
MEG_7819|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|YDEO,232,CUTE,158,Phenicol-resistant 23S rRNA mutation,4
MEG_5814|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTB,232,MODA,158,Tetracycline transcriptional repressor,3
MEG_3083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADX,231,CUSR,156,Phenicol resistance MFS efflux pumps,2
MEG_3076|Biocides|Acid_resistance|Acid_resistance_protein|GADA,225,ZNUC,154,VanC-type resistance protein,2
MEG_2739|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|EPTA,224,ACRD,151,Paraquat resistance protein,2
MEG_3079|Biocides|Acid_resistance|Acid_resistance_protein|GADC,224,CUSS,151,VanA-type regulator,2
MEG_1|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,221,BAER,147,Tellurium resistance protein,2
MEG_7161|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,220,MDTP,145,Defensin-resistant mprF,2
MEG_415|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRS,209,EMRR,142,Mercury resistance regulator,1
MEG_5819|Drugs|Fosfomycin|Fosfomycin_target_mutation|PTSL|RequiresSNPConfirmation,205,EMRB,141
MEG_3948|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|MGTA,202,ZINT,140
MEG_7156|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,199,SUGE,139
MEG_6094|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,197,FABI,139
MEG_2440|Metals|Copper_resistance|Copper_resistance_protein|CUEO,197,FIEF,138
MEG_6997|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44,195,IBPB,138
MEG_4095|Drugs|Fosfomycin|Fosfomycin_target_mutation|MURA|RequiresSNPConfirmation,192,HDEA,133
MEG_5787|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|PITA,184,HDEB,132
MEG_7162|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,184,IBPA,132
MEG_7159|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,183,OMPFB,131
MEG_2898|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETA,181,SODA,129
MEG_2899|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETB,180,MDTK,128
MEG_3986|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,179,YOGI,124
MEG_4164|Metals|Sodium_resistance|Sodium_resistance_protein|NHAB,174,MDTH,123
MEG_2448|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,174,PMRF,122
MEG_2722|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRA,171,MDTN,122
MEG_4162|Metals|Sodium_resistance|Sodium_resistance_protein|NHAA,169,MSRD,118
MEG_2869|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,167,RCNA,114
MEG_3078|Biocides|Acid_resistance|Acid_resistance_protein|GADB,166,YGIW,113
MEG_7858|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB,164,ANT6,111
MEG_3998|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MNTH,164,ZITB,111
MEG_6082|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ROBA,161,ZUPT,110
MEG_6970|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32,159,RPOCL,108
MEG_8634|Drugs|Lipopeptides|Colistin-resistant_mutant|PMRAR|RequiresSNPConfirmation,159,TET36,107
MEG_2457|Metals|Copper_resistance|Copper_resistance_protein|CUTE,158,CTX,106
MEG_4002|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODA,158,TEHA,106
MEG_2955|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,157,YJCG,105
MEG_4010|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODC,157,TETM,104
MEG_2452|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSR,156,NIKA,104
MEG_4006|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODB,156,DSBC,103
MEG_7859|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUC,154,MDFA,101
MEG_2122|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,154,CRP,100
MEG_2453|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSS,151,RPOS,98
MEG_2689|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBB,150,NFSA,97
MEG_3141|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|GLPF,148,TEHB,97
MEG_1192|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER,147,MDTC,95
MEG_3765|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTP,145,MDTI,95
MEG_410|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,144,CORA,92
MEG_5333|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,144,MDTJ,90
MEG_7855|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUA,142,CORC,89
MEG_2734|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EMRR,142,PBP2,87
MEG_7849|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZINT,140,MARA,86
MEG_1695|Drugs|betalactams|Class_A_betalactamases|CFX,139,AMPCR,86
MEG_2875|Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABI,139,YIEF,84
MEG_2909|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FIEF,138,AMPH,84
MEG_4012|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODC,138,MNTR,83
MEG_1193|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES,138,RCNR,82
MEG_7178|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,136,FABG,82
MEG_7213|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,136,OXA,81
MEG_7263|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,133,ASR,81
MEG_3253|Biocides|Acid_resistance|Acid_resistance_protein|HDEA,133,RRL,80
MEG_3287|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPA,132,YHCN,78
MEG_7219|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,131,ZNTR,78
MEG_4289|Drugs|betalactams|Mutant_porin_proteins|OMPFB|RequiresSNPConfirmation,131,MARR,77
MEG_7313|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,128,PARE,77
MEG_3289|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPB,128,RCNB,76
MEG_6994|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,127,NIKB,73
MEG_6131|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,125,MDTB,73
MEG_3979|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,124,MEFE,73
MEG_7217|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,124,RPOC,73
MEG_7842|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|YOGI,124,HNS,72
MEG_3255|Biocides|Acid_resistance|Acid_resistance_protein|HDEB,124,SOXRB,71
MEG_3755|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTH,123,MDR23S,71
MEG_2725|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRB,123,CUTC,70
MEG_5801|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|PMRF,122,ERMG,69
MEG_3763|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTN,122,MDTM,68
MEG_7318|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,122,ARIR,66
MEG_6577|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE,118,YCHH,65
MEG_3187|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,116,ICLR,64
MEG_6971|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32,116,SODB,63
MEG_6048|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RCNA,114,GLPT,63
MEG_7184|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,113,FUSA,62
MEG_7218|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,113,CUTF,61
MEG_7831|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YGIW,113,SOXS,61
MEG_6540|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA,111,ZUR,57
MEG_7851|Metals|Zinc_resistance|Zinc_resistance_protein|ZITB,111,BCR,57
MEG_6139|Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC|RPOCL|RequiresSNPConfirmation,108,LNUA,57
MEG_6979|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET36,107,CUTA,57
MEG_6655|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHA,106,MNTP,56
MEG_7837|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_protein|YJCG,105,MPHB,55
MEG_3759|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MDTK,104,YGJH,53
MEG_4167|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKA,104,BACA,52
MEG_7222|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,104,UHPT,51
MEG_407|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,104,YDEI,51
MEG_7153|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,102,ZNTA,49
MEG_2132|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CRP,100,PAREF,48
MEG_7228|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,100,COMR,47
MEG_4160|Metals|Chromium_resistance|Chromium_resistance_protein|NFSA,97,CUER,47
MEG_6656|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHB,97,COPA,46
MEG_7865|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ZUPT,96,UGD,46
MEG_5332|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,96,MDTA,45
MEG_3749|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTC,95,ARSR,45
MEG_3756|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTI,95,RPSL,44
MEG_6141|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|RPOS,95,NIKC,43
MEG_7314|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,92,MDTG,42
MEG_3757|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTJ,90,TETB,41
MEG_988|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,89,TCRA,38
MEG_5400|Drugs|betalactams|Penicillin_binding_protein|PBP2,87,DSBA,38
