Statistics
ARG_NUM_OF_READS,105848
ARG_READ_LENGTH_MEAN,2796.635968558688
ARG_READ_LENGTH_MEDIAN,2975.0
ARG_READ_LENGTH_RANGE,"(55, 297470)"
ARG_READ_LENGTH_STD_DEV,1907.6494846400917
ARG_READ_LENGTH_VARIANCE,3639126.5562476073
ARG_READ_LENGTH_SKEW,36.83271062415115
ARG_READ_LENGTH_KURTOSIS,5461.023803729726
ARG_NO_OUTLIERS_4_STDV_NUM_OF_READS,105452
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEAN,2766
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEDIAN,2962.0
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_RANGE,"(55, 8248)"
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_STD_DEV,1578.5506010261438
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_VARIANCE,2491822
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_SKEW,0.07075028114234228
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_KURTOSIS,-0.8143597224405967
Resistome
MEGARes Gene Header,Num Reads,Group,Num Reads,Mechanism,Num Reads,Class,Num Reads
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,14929,MLS23S,39340,Macrolide-resistant 23S rRNA mutation,39340,MLS,41082
MEG_3988|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,7336,A16S,23504,Aminoglycoside-resistant 16S ribosomal subunit protein,37592,Aminoglycosides,38163
MEG_8680|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRS|RequiresSNPConfirmation,7153,O23S,14929,Oxazolidinone-resistant 23S rRNA mutation,15009,Oxazolidinone,15009
MEG_3990|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,6079,RRS,7153,Tetracycline resistance ribosomal protection proteins,12172,Tetracyclines,14400
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,5462,TETQ,5015,Drug and biocide RND efflux pumps,3007,Drug and biocide resistance,7252
MEG_3977|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,4891,RRSA,3542,Tetracycline-resistant 16S ribosomal subunit protein,2093,Multi-metal resistance,4504
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,4538,TETO,3140,Drug and biocide RND efflux regulator,1684,Acid resistance,1928
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,4442,TETW,2559,Multi-metal resistance protein,1619,Cationic antimicrobial peptides,1902
MEG_8249|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,4115,TET16S,2093,Cationic peptide-resistant 16S ribosomal subunit protein,1508,Biocide and metal resistance,1280
MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,3889,RRSH,2014,Drug and biocide MFS efflux pumps,1440,Elfamycins,1259
MEG_6145|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation,3542,CAP16S,1508,Acid resistance protein,1277,Rifampin,1244
MEG_3992|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,3302,RRSC,1335,EF-Tu inhibition,1259,Arsenic resistance,1143
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,3169,TUFAB,1259,Rifampin-resistant beta-subunit of RNA polymerase RpoB,1242,betalactams,1076
MEG_3978|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2836,RPOB,1233,Multi-metal RND efflux pumps,1231,Zinc resistance,1000
MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,2739,MEFA,962,Arsenic resistance protein,1098,Drug and biocide and metal resistance,898
MEG_6147|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation,2014,TET40,704,MLS resistance MFS efflux pumps,1035,Multi-biocide resistance,890
MEG_3975|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1732,MDTF,548,Biocide and metal resistance protein,902,Copper resistance,856
MEG_6964|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,1696,CPXAR,492,Multi-metal ABC efflux pumps,734,Fluoroquinolones,628
MEG_3980|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1555,EVGS,491,Copper resistance protein,718,Peroxide resistance,513
MEG_1490|Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation,1508,MDTE,450,Acid resistance regulator,651,Fosfomycin,511
MEG_3994|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1470,ACRF,431,Drug and biocide MFS efflux regulator,633,Sodium resistance,445
MEG_8251|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1391,ACRB,430,Fluoroquinolone-resistant DNA topoisomerases,628,Multi-drug resistance,425
MEG_6146|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation,1335,P23S,396,Zinc resistance protein,610,Pleuromutilin,396
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,1020,ANT9,390,Multi-metal resistance regulator,600,Acetate resistance,382
MEG_7229|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,904,CUSA,375,Drug and biocide and metal RND efflux pumps,529,Lipopeptides,267
MEG_3817|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,750,GADE,367,Fosfomycin target mutation,511,Nickel resistance,246
MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,735,EMRY,351,Aminoglycoside O-nucleotidyltransferases,506,Phenolic compound resistance,221
MEG_3985|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,632,CUSB,349,Multi-biocide resistance regulator,476,Sulfonamides,193
MEG_7154|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,599,LNUC,341,Sodium resistance protein,445,Aminocoumarins,103
MEG_7181|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,559,MODC,336,Lincosamide nucleotidyltransferases,411,Chromium resistance,97
MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,553,PARC,333,Pleuromutilin-resistant 23S rRNA mutation,396,Glycopeptides,84
