Statistics
ARG_NUM_OF_READS,279529
ARG_READ_LENGTH_MEAN,4238.366709715271
ARG_READ_LENGTH_MEDIAN,4267
ARG_READ_LENGTH_RANGE,"(83, 1206246)"
ARG_READ_LENGTH_STD_DEV,3583.315698699632
ARG_READ_LENGTH_VARIANCE,12840151.39654723
ARG_READ_LENGTH_SKEW,204.66455846406978
ARG_READ_LENGTH_KURTOSIS,57900.019310583644
ARG_NO_OUTLIERS_4_STDV_NUM_OF_READS,263341
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEAN,4331
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEDIAN,4307
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_RANGE,"(1820, 6714)"
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_STD_DEV,851.5685527307828
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_VARIANCE,725169
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_SKEW,-0.1513123485754373
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_KURTOSIS,0.07187233919649216
Resistome
MEGARes Gene Header,Num Reads,Group,Num Reads,Mechanism,Num Reads,Class,Num Reads
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,55101,MLS23S,140635,Aminoglycoside-resistant 16S ribosomal subunit protein,160950,Aminoglycosides,161687
MEG_8680|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRS|RequiresSNPConfirmation,32236,A16S,102233,Macrolide-resistant 23S rRNA mutation,140635,MLS,144289
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,27174,O23S,55101,Oxazolidinone-resistant 23S rRNA mutation,55665,Oxazolidinone,55665
MEG_8249|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,20928,RRS,32236,Tetracycline-resistant 16S ribosomal subunit protein,6575,Tetracyclines,13546
MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,19722,RRSA,13688,Tetracycline resistance ribosomal protection proteins,5836,Drug and biocide resistance,8516
MEG_3990|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,18845,RRSH,7932,Cationic peptide-resistant 16S ribosomal subunit protein,4554,Multi-metal resistance,7428
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,18293,TET16S,6575,Pleuromutilin-resistant 23S rRNA mutation,3608,Cationic antimicrobial peptides,5197
MEG_3977|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,17306,RRSC,4661,Drug and biocide RND efflux pumps,3305,Pleuromutilin,3608
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,15217,CAP16S,4554,EF-Tu inhibition,3263,Elfamycins,3263
MEG_3988|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,14661,P23S,3608,Rifampin-resistant beta-subunit of RNA polymerase RpoB,3151,Rifampin,3178
MEG_6145|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation,13688,TUFAB,3263,Multi-metal RND efflux pumps,2699,betalactams,2457
MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,13422,RPOB,3111,Multi-metal resistance protein,2491,Acid resistance,2301
MEG_8251|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,9625,TETQ,2179,Drug and biocide RND efflux regulator,1976,Copper resistance,1829
MEG_3978|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,9544,TETO,1211,Drug and biocide MFS efflux pumps,1758,Biocide and metal resistance,1621
MEG_6147|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation,7932,MEFA,1055,Acid resistance protein,1690,Drug and biocide and metal resistance,1526
MEG_3992|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,7696,TETW,969,MLS resistance MFS efflux pumps,1479,Arsenic resistance,1441
MEG_3975|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,6443,ACRB,585,Arsenic resistance protein,1369,Zinc resistance,1338
MEG_3987|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,5249,RRL,564,Copper resistance protein,1330,Multi-biocide resistance,1257
MEG_3976|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,4945,TET40,521,Biocide and metal resistance protein,1250,Multi-drug resistance,895
MEG_6146|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation,4661,OXA,496,Drug and biocide and metal RND efflux pumps,976,Fluoroquinolones,821
MEG_1490|Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation,4554,MDTF,473,Zinc resistance protein,921,Glycopeptides,753
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,4380,CPXAR,462,Multi-metal ABC efflux pumps,841,Peroxide resistance,707
MEG_3980|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,4083,EVGS,461,Fluoroquinolone-resistant DNA topoisomerases,821,Fosfomycin,656
MEG_8443|Drugs|Pleuromutilin|Pleuromutilin-resistant_23S_rRNA_mutation|P23S|RequiresSNPConfirmation,3559,CUSA,457,Tetracycline resistance MFS efflux pumps,812,Sodium resistance,462
MEG_6964|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,3422,TETM,421,Multi-metal resistance regulator,717,Nickel resistance,365
MEG_3994|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,3263,CUSB,406,MLS resistance ABC efflux pumps,701,Lipopeptides,344
MEG_6963|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,3153,ACRF,397,Multi-biocide resistance regulator,694,Acetate resistance,331
MEG_3991|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2748,MSRD,396,Multi-metal RND efflux regulator,680,Phenicol,301
MEG_8252|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2163,MODC,391,Drug and biocide MFS efflux regulator,652,Aminocoumarins,249
MEG_3982|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2154,YDEP,386,Lipid A modification,639,Pactamycin,242
MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,1681,GYRA,383,Fosfomycin target mutation,633,Phenolic compound resistance,221
MEG_3993|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1638,PTSL,376,Acid resistance regulator,611,Sulfonamides,167
MEG_3985|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1626,PSTC,375,Aminoglycoside O-nucleotidyltransferases,505,Chromium resistance,118
MEG_8254|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1458,CUSC,366,Class D betalactamases,499,Trimethoprim,109
MEG_3986|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1433,ACRA,366,Copper resistance regulator,499,Bacitracin,107
MEG_8250|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1426,MDTE,366,Macrolide phosphotransferases,493,Nucleosides,41
MEG_1|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,1361,PSTA,360,Lincosamide nucleotidyltransferases,480,Fusidic acid,32
MEG_8253|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1327,EMRY,345,Drug and biocide and metal RND efflux regulator,467,Biguanide resistance,22
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,1271,EMRK,338,Sodium resistance protein,462,Paraquat resistance,8
MEG_3984|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1026,TET44,337,23S rRNA methyltransferases,456,Tellurium resistance,8
MEG_3817|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,655,ACRE,334,Drug and biocide SMR efflux pumps,452,Mycobacterium tuberculosis-specific Drug,3
MEG_8679|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|RRL|RequiresSNPConfirmation,564,MSBA,321,Mutant porin proteins,427,Drug and metal resistance,1
MEG_7301|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,535,EVGA,317,Zinc resistance regulator,417
MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,504,SILP,317,Peroxide resistance stress protein,411
MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,496,CUSF,314,Penicillin binding protein,390
MEG_7314|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,476,RPOC,311,Multi-drug ABC efflux pumps,387
MEG_3752|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF,473,PSTS,309,Class A betalactamases,378
MEG_3979|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,470,PSTB,306,Biocide and metal ABC efflux pumps,371
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,469,PARC,305,Class C betalactamases,354
MEG_2446|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSA,457,YDEO,300,Nickel ABC efflux pumps,353
MEG_7320|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,445,EPTA,297,Acetate resistance protein,331
MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,425,GADX,296,Vancomycin-resistant mutation,311
MEG_6991|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,414,GADE,294,peroxide resistance protein,296
MEG_7154|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,406,GADA,290,Multi-biocide RND efflux pump,262
MEG_2447|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSB,406,ACRS,290,Colistin-resistant mutant,258
MEG_6135|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,399,GADW,281,Aminocoumarin-resistant DNA topoisomerases,249
