Statistics
ARG_NUM_OF_READS,8886
ARG_READ_LENGTH_MEAN,3138.976367319379
ARG_READ_LENGTH_MEDIAN,3024.5
ARG_READ_LENGTH_RANGE,"(123, 27344)"
ARG_READ_LENGTH_STD_DEV,1929.942788712284
ARG_READ_LENGTH_VARIANCE,3724679.1677025477
ARG_READ_LENGTH_SKEW,1.0731057158863038
ARG_READ_LENGTH_KURTOSIS,4.039564955715137
ARG_NO_OUTLIERS_4_STDV_NUM_OF_READS,8781
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEAN,3055
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEDIAN,2994
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_RANGE,"(123, 8465)"
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_STD_DEV,1767.2588944464248
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_VARIANCE,3123204
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_SKEW,0.4846261028746366
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_KURTOSIS,-0.3140246590763356
Resistome
MEGARes Gene Header,Num Reads,Group,Num Reads,Mechanism,Num Reads,Class,Num Reads
MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,595,EVGS,654,Drug and biocide RND efflux pumps,1725,Drug and biocide resistance,4648
MEG_3752|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF,481,MDTF,481,Drug and biocide MFS efflux pumps,1023,Acid resistance,1546
MEG_2732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,384,EMRK,439,Drug and biocide RND efflux regulator,998,Multi-metal resistance,1266
MEG_2867|Biocides|Acid_resistance|Acid_resistance_regulator|EVGA,375,EMRY,420,Acid resistance protein,958,MLS,855
MEG_2736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY,327,EVGA,375,Drug and biocide MFS efflux regulator,664,Tetracyclines,638
MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,283,RPOB,366,Multi-metal resistance protein,635,Biocide and metal resistance,470
MEG_3751|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTE,270,ACRF,308,Acid resistance regulator,588,Arsenic resistance,461
MEG_7820|Biocides|Acid_resistance|Acid_resistance_protein|YDEP,252,ACRB,283,Arsenic resistance protein,440,Multi-biocide resistance,424
MEG_3081|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW,229,MDTE,270,Biocide and metal resistance protein,391,Zinc resistance,382
MEG_409|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,220,MLS23S,253,Rifampin-resistant beta-subunit of RNA polymerase RpoB,366,Rifampin,366
MEG_3080|Biocides|Acid_resistance|Acid_resistance_regulator|GADE,213,YDEP,252,Multi-biocide resistance regulator,334,betalactams,240
MEG_6135|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,207,GADW,230,Zinc resistance protein,303,Aminoglycosides,210
MEG_3083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADX,199,MSRG,213,MLS resistance MFS efflux pumps,291,Copper resistance,206
MEG_7819|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|YDEO,194,GADE,213,Tetracycline resistance ribosomal protection proteins,272,Drug and biocide and metal resistance,200
MEG_408|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRE,187,GADX,199,Tetracycline resistance MFS efflux pumps,258,Sodium resistance,192
MEG_8260|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRG,154,YDEO,194,Macrolide-resistant 23S rRNA mutation,253,Cationic antimicrobial peptides,191
MEG_3076|Biocides|Acid_resistance|Acid_resistance_protein|GADA,153,ACRE,187,MLS resistance ABC efflux pumps,223,Fosfomycin,184
MEG_399|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA,149,TETL,179,Multi-metal RND efflux pumps,206,Peroxide resistance,173
MEG_415|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRS,146,TETQ,176,Sodium resistance protein,192,Elfamycins,160
MEG_3253|Biocides|Acid_resistance|Acid_resistance_protein|HDEA,144,MEFF,169,Aminoglycoside-resistant 16S ribosomal subunit protein,191,Multi-drug resistance,147
MEG_3255|Biocides|Acid_resistance|Acid_resistance_protein|HDEB,143,TUFAB,160,Fosfomycin target mutation,184,Oxazolidinone,125
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,125,GADA,154,Copper resistance protein,169,Acetate resistance,104
MEG_3079|Biocides|Acid_resistance|Acid_resistance_protein|GADC,122,HDEB,149,EF-Tu inhibition,160,Fluoroquinolones,103
MEG_5813|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTA,122,ACRA,149,Multi-metal resistance regulator,158,Lipopeptides,54
MEG_5815|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTC,122,CPXAR,148,Lipid A modification,153,Phenolic compound resistance,40
MEG_411|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,114,ACRS,146,Multi-metal ABC efflux pumps,140,Sulfonamides,39
MEG_4061|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MSBA,110,HDEA,144,Drug and biocide SMR efflux pumps,130,Aminocoumarins,22
MEG_8249|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,105,O23S,125,Drug and biocide and metal RND efflux pumps,129,Trimethoprim,22
MEG_4164|Metals|Sodium_resistance|Sodium_resistance_protein|NHAB,97,GADC,122,Multi-metal RND efflux regulator,127,Chromium resistance,13
MEG_5816|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTS,96,PSTA,122,Oxazolidinone-resistant 23S rRNA mutation,125,Nickel resistance,11
MEG_7859|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUC,96,PSTC,122,Multi-drug ABC efflux pumps,111,Fusidic acid,8
MEG_3078|Biocides|Acid_resistance|Acid_resistance_protein|GADB,94,NHAB,117,Acetate resistance protein,104,Tellurium resistance,5
MEG_2737|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY,93,ACRR,114,Fluoroquinolone-resistant DNA topoisomerases,103,Mercury resistance,3
MEG_7095|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,92,MSBA,110,Peroxide resistance stress protein,99
MEG_6655|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHA,90,PSTS,108,Drug and biocide MATE efflux pumps,82
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,89,ZNUA,107,Zinc resistance regulator,79
MEG_8244|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFF,89,ZNUC,96,Biocide and metal ABC efflux pumps,79
MEG_410|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,88,GADB,94,Mutant porin proteins,76
MEG_5814|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTB,88,TEHA,90,peroxide resistance protein,74
MEG_7849|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZINT,88,PSTB,88,Tetracycline inactivation enzymes,64
MEG_5819|Drugs|Fosfomycin|Fosfomycin_target_mutation|PTSL|RequiresSNPConfirmation,86,ZINT,88,Lincosamide nucleotidyltransferases,62
MEG_3622|Biocides|Acetate_resistance|Acetate_resistance_protein|LPDT,85,PTSL,86,Drug and biocide and metal RND efflux regulator,52
MEG_7855|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUA,84,LPDT,85,Class A betalactamases,49
MEG_7858|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB,84,ZNUB,84,Colistin-resistant mutant,47
MEG_8245|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFF,80,A16S,83,Class D betalactamases,40
MEG_6656|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHB,77,MGTA,82,Sulfonamide-resistant dihydropteroate synthases,39
MEG_1107|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|ARIR,74,MDTK,82,Class C betalactamases,38
MEG_6048|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RCNA,73,ACRD,78,Cationic peptide-resistant 16S ribosomal subunit protein,38
MEG_7301|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,73,TEHB,77,Copper resistance regulator,37
MEG_2121|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,68,DSBB,75,Multi-biocide RND efflux pump,34
MEG_2689|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBB,66,ARIR,74,Tetracycline resistance MFS efflux regulator,34
MEG_2453|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSS,66,RCNA,73,Phenolic resistance protein,33
MEG_5787|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|PITA,65,CUSS,66,Multi-biocide SMR efflux pump,32
MEG_4095|Drugs|Fosfomycin|Fosfomycin_target_mutation|MURA|RequiresSNPConfirmation,65,MARA,65,Penicillin binding protein,30
MEG_2446|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSA,63,CUSC,65,Multi-drug RND efflux pumps,29
MEG_4162|Metals|Sodium_resistance|Sodium_resistance_protein|NHAA,61,PITA,65,Drug and biocide ABC efflux pumps,26
MEG_3830|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFE,60,MURA,65,Multi-biocide resistance protein,24
MEG_3998|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MNTH,60,TETX,64,Aminocoumarin-resistant DNA topoisomerases,22
MEG_3757|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTJ,59,CUSA,63,Macrolide phosphotransferases,22
MEG_3663|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARR,59,NHAA,61,Dihydrofolate reductase,22
MEG_3759|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MDTK,59,MEFE,60,Arsenic resistance regulator,21
MEG_3662|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARA,59,MNTH,60,Drug and biocide and metal resistance regulator,19
MEG_8259|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRG,59,MDTJ,59,Chromium resistance protein,13
MEG_407|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,58,MARR,59,Aminoglycoside O-nucleotidyltransferases,11
MEG_7328|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|UGD,58,UGD,58,Tetracycline-resistant 16S ribosomal subunit protein,8
MEG_2452|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSR,57,MODC,57,Fusidic acid-resistant mutation,8
MEG_3948|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|MGTA,57,CUSR,57,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,7
MEG_3978|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,56,EPTA,56,Nickel ABC efflux pumps,7
MEG_2739|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|EPTA,56,MEFA,55,Multi-drug RND efflux regulator,7
MEG_4289|Drugs|betalactams|Mutant_porin_proteins|OMPFB|RequiresSNPConfirmation,55,OMPFB,55,Triclosan-resistant mutation,7
MEG_2733|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,55,PARC,53,Class C betalactamase regulator,7
MEG_2448|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,53,FIEF,53,Aminoglycoside O-phosphotransferases,6
MEG_2909|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FIEF,53,MDTI,53,Tellurium resistance protein,5
