Statistics
ARG_NUM_OF_READS,455427
ARG_READ_LENGTH_MEAN,3886.1375544269445
ARG_READ_LENGTH_MEDIAN,3850
ARG_READ_LENGTH_RANGE,"(98, 141624)"
ARG_READ_LENGTH_STD_DEV,1206.6135249342453
ARG_READ_LENGTH_VARIANCE,1455916.1985542446
ARG_READ_LENGTH_SKEW,8.357363599363518
ARG_READ_LENGTH_KURTOSIS,737.1139179627314
ARG_NO_OUTLIERS_4_STDV_NUM_OF_READS,407935
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEAN,3970
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEDIAN,3901
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_RANGE,"(2091, 5609)"
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_STD_DEV,649.7160918431988
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_VARIANCE,422131
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_SKEW,-0.043766839060422995
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_KURTOSIS,0.21924027255008882
Resistome
MEGARes Gene Header,Num Reads,Group,Num Reads,Mechanism,Num Reads,Class,Num Reads
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,60090,MLS23S,303914,Macrolide-resistant 23S rRNA mutation,303914,MLS,306564
MEG_3990|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,49916,A16S,187337,Aminoglycoside-resistant 16S ribosomal subunit protein,278456,Aminoglycosides,279135
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,49908,O23S,60090,Oxazolidinone-resistant 23S rRNA mutation,60305,Oxazolidinone,60305
MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,37741,RRS,36499,Tetracycline-resistant 16S ribosomal subunit protein,13419,Tetracyclines,15488
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,37246,RRSA,31136,Rifampin-resistant beta-subunit of RNA polymerase RpoB,8181,Rifampin,8198
MEG_8680|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRS|RequiresSNPConfirmation,36499,RRSH,16397,Cationic peptide-resistant 16S ribosomal subunit protein,6137,betalactams,6812
MEG_3977|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,35236,TET16S,13419,EF-Tu inhibition,5058,Cationic antimicrobial peptides,6386
MEG_8251|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,34113,RPOB,8149,Class B betalactamases,3217,Drug and biocide resistance,6289
MEG_8249|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,33423,RRSC,6982,Class D betalactamases,2492,Elfamycins,5058
MEG_6145|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation,31136,CAP16S,6137,Drug and biocide RND efflux pumps,2256,Multi-metal resistance,3407
MEG_3978|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,30684,TUFAB,5058,Pleuromutilin-resistant 23S rRNA mutation,1797,Pleuromutilin,1797
MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,27414,IMP,3184,Drug and biocide RND efflux regulator,1677,Acid resistance,1624
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,24164,OXA,2492,Tetracycline resistance ribosomal protection proteins,1342,Glycopeptides,1312
MEG_3994|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,18389,P23S,1797,Multi-metal resistance protein,1301,Arsenic resistance,1304
MEG_6147|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation,16397,RPOC,1282,Vancomycin-resistant mutation,1282,Biocide and metal resistance,1124
MEG_3980|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,15678,TETW,743,Arsenic resistance protein,1265,Drug and biocide and metal resistance,956
MEG_3988|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,14526,MEFA,736,Acid resistance protein,1201,Zinc resistance,934
MEG_3992|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,10683,ACRB,612,Drug and biocide MFS efflux pumps,1117,Multi-biocide resistance,868
MEG_6964|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,9240,MSRD,500,MLS resistance MFS efflux pumps,1101,Fluoroquinolones,616
MEG_3975|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,9170,EVGS,440,Multi-metal RND efflux pumps,1097,Copper resistance,571
MEG_6146|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation,6982,DFRA,432,MLS resistance ABC efflux pumps,817,Fosfomycin,567
MEG_3982|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,6401,TETX,413,Biocide and metal resistance protein,802,Multi-drug resistance,458
MEG_3987|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,6149,CPXAR,399,Zinc resistance protein,665,Trimethoprim,452
MEG_1490|Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation,6137,ACRA,380,Fluoroquinolone-resistant DNA topoisomerases,615,Peroxide resistance,367
MEG_8252|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,5819,PTSL,348,Fosfomycin target mutation,554,Nickel resistance,314
MEG_8254|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,5281,MDTF,337,Drug and biocide SMR efflux pumps,536,Acetate resistance,290
MEG_8253|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,5225,PSTC,336,Drug and biocide MFS efflux regulator,515,Sodium resistance,283
MEG_8250|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,4452,PSTB,314,Aminoglycoside O-nucleotidyltransferases,495,Phenolic compound resistance,271
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,4429,CUSA,314,Drug and biocide and metal RND efflux pumps,494,Lipopeptides,185
MEG_3976|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,4220,GYRA,310,Dihydrofolate reductase,452,Phenicol,144
MEG_6963|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,4179,PSTA,306,Copper resistance protein,426,Aminocoumarins,127
MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,3591,MSRG,303,Acid resistance regulator,423,Sulfonamides,101
MEG_3991|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,3380,PSTS,302,Multi-biocide resistance regulator,418,Pactamycin,95
MEG_3993|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,3275,ANT6,297,Drug and biocide and metal RND efflux regulator,417,Fusidic acid,88
MEG_3985|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,3257,ERMF,266,Tetracycline inactivation enzymes,413,Bacitracin,76
MEG_6131|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,1950,GADX,262,Multi-metal RND efflux regulator,361,Chromium resistance,39
MEG_3986|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1827,YDEP,257,23S rRNA methyltransferases,348,Tellurium resistance,32
MEG_3984|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1790,MDTE,252,Multi-metal resistance regulator,338,Biguanide resistance,8
MEG_8443|Drugs|Pleuromutilin|Pleuromutilin-resistant_23S_rRNA_mutation|P23S|RequiresSNPConfirmation,1745,TETQ,250,Biocide and metal ABC efflux pumps,322,Paraquat resistance,4
MEG_6121|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,1712,LPDT,248,Macrolide phosphotransferases,311,Mycobacterium tuberculosis-specific Drug,1
MEG_1|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,1376,EVGA,247,Multi-metal ABC efflux pumps,310
MEG_4425|Drugs|betalactams|Class_D_betalactamases|OXA,1351,MEFF,246,Nickel ABC efflux pumps,305
MEG_6138|Drugs|Glycopeptides|Vancomycin-resistant_mutation|RPOC|RequiresSNPConfirmation,1282,ACRR,246,Penicillin binding protein,295
MEG_7307|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,1172,GADW,241,Class A betalactamases,294
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,962,CUSC,238,Acetate resistance protein,290
MEG_6100|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,869,ACRF,232,Sodium resistance protein,283
MEG_3395|Drugs|betalactams|Class_B_betalactamases|IMP,830,CUSB,228,Multi-biocide RND efflux pump,269
MEG_6135|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,776,EMRK,220,Zinc resistance regulator,269
MEG_7314|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,730,TEHA,220,Tetracycline resistance MFS efflux pumps,251
MEG_7315|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,684,PARC,219,Lipid A modification,248
MEG_3979|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,678,BAES,218,MDR 23S rRNA mutation,203
MEG_4830|Drugs|betalactams|Class_D_betalactamases|OXA,667,ZNUA,216,Mutant porin proteins,185
MEG_6107|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,656,RRL,215,peroxide resistance protein,184
MEG_7312|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,643,GADB,213,Peroxide resistance stress protein,183
MEG_7301|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,628,GADA,205,Class C betalactamases,173
MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,570,CUSF,203,Aminoglycoside O-phosphotransferases,150
MEG_3824|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,542,MDR23S,203,Copper resistance regulator,145
MEG_6127|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,507,BAER,199,Phenolic resistance protein,138
MEG_6099|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,489,MDTC,198,Triclosan-resistant mutation,133
MEG_8068|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,432,YDEO,196,Aminocoumarin-resistant DNA topoisomerases,127
MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,409,TEHB,185,Class C betalactamase regulator,126
MEG_399|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA,373,CUSR,183,Multi-biocide SMR efflux pump,112
MEG_7229|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,360,ZNUC,183,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,102
MEG_8|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,355,ANT9,180,Sulfonamide-resistant dihydropteroate synthases,101
MEG_5819|Drugs|Fosfomycin|Fosfomycin_target_mutation|PTSL|RequiresSNPConfirmation,348,GADE,176,Drug and biocide ABC efflux pumps,96
MEG_4074|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD,339,NHAB,175,Pactamycin-resistant 16S ribosomal subunit protein,95
MEG_3752|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF,337,EMRY,175,Drug and biocide MATE efflux pumps,92
