Statistics
ARG_NUM_OF_READS,156626
ARG_READ_LENGTH_MEAN,3844.132576966787
ARG_READ_LENGTH_MEDIAN,3812.0
ARG_READ_LENGTH_RANGE,"(206, 14931)"
ARG_READ_LENGTH_STD_DEV,887.0761586149254
ARG_READ_LENGTH_VARIANCE,786904.1111830121
ARG_READ_LENGTH_SKEW,0.19717258285565414
ARG_READ_LENGTH_KURTOSIS,4.687722390549509
ARG_NO_OUTLIERS_4_STDV_NUM_OF_READS,148918
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEAN,3864
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEDIAN,3819.0
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_RANGE,"(1957, 5667)"
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_STD_DEV,667.5694720401765
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_VARIANCE,445649
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_SKEW,0.16056391406156614
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_KURTOSIS,-0.07330427768202119
Resistome
MEGARes Gene Header,Num Reads,Group,Num Reads,Mechanism,Num Reads,Class,Num Reads
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,11783,MLS23S,41033,Tetracycline resistance ribosomal protection proteins,56269,MLS,63210
MEG_3817|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,10196,A16S,21692,Macrolide-resistant 23S rRNA mutation,41033,Tetracyclines,60300
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,9685,TETO,19896,Aminoglycoside-resistant 16S ribosomal subunit protein,36105,Aminoglycosides,42052
MEG_3988|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,8275,TETQ,16283,MLS resistance MFS efflux pumps,13697,Oxazolidinone,9722
MEG_8680|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRS|RequiresSNPConfirmation,7503,MEFA,12809,Oxazolidinone-resistant 23S rRNA mutation,9722,Copper resistance,8826
MEG_3975|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,7217,TETM,12470,Copper resistance protein,8779,Rifampin,2169
MEG_3992|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,7156,O23S,9685,Aminoglycoside O-nucleotidyltransferases,5685,Multi-drug resistance,1636
MEG_7164|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,7052,RRS,7503,MLS resistance ABC efflux pumps,4806,Phenicol,1573
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,6830,RRSA,3635,Tetracycline-resistant 16S ribosomal subunit protein,2262,Drug and biocide resistance,1434
MEG_3978|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,6238,TCRA,3102,23S rRNA methyltransferases,2183,Cationic antimicrobial peptides,963
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,4326,LSA,2667,Rifampin-resistant beta-subunit of RNA polymerase RpoB,2169,Elfamycins,881
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,3835,RRSH,2532,Multi-drug ABC efflux pumps,1587,Multi-metal resistance,867
MEG_6145|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation,3635,TCRB,2489,Chloramphenicol acetyltransferases,1404,betalactams,725
MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,3162,TET32,2401,Lincosamide nucleotidyltransferases,1153,Acid resistance,339
MEG_7154|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,3105,TET16S,2262,Tetracycline resistance MFS efflux pumps,1130,Trimethoprim,337
MEG_6651|Metals|Copper_resistance|Copper_resistance_protein|TCRA,3102,ANT6,2211,EF-Tu inhibition,881,Pleuromutilin,259
MEG_7146|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,2802,ANT9,2197,Cationic peptide-resistant 16S ribosomal subunit protein,861,Biocide and metal resistance,220
MEG_3641|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA,2667,RPOB,2169,Drug and biocide RND efflux pumps,532,Glycopeptides,214
MEG_7112|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,2533,TET36,1733,Class A betalactamases,515,Arsenic resistance,198
MEG_6147|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation,2532,MSRD,1677,Tetracycline inactivation enzymes,383,Zinc resistance,194
MEG_6652|Metals|Copper_resistance|Copper_resistance_protein|TCRB,2489,TETW,1646,Dihydrofolate reductase,337,Drug and biocide and metal resistance,192
MEG_7150|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,2475,TCRZ,1588,Macrolide phosphotransferases,333,Lipopeptides,156
MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,2449,LSAE,1529,Drug and biocide RND efflux regulator,329,Multi-biocide resistance,148
MEG_1004|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,2181,TCRY,1499,Drug and biocide MFS efflux pumps,313,Nucleosides,107
MEG_8249|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2007,CAT,1350,Multi-metal resistance protein,270,Fosfomycin,88
MEG_3977|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1834,ANT3-DPRIME,1211,Multi-metal RND efflux pumps,268,Sodium resistance,86
MEG_6964|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,1821,ERMA,1043,Pleuromutilin-resistant 23S rRNA mutation,259,Peroxide resistance,85
MEG_7145|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,1777,TUFAB,881,Tetracycline transcriptional repressor,256,Fluoroquinolones,79
MEG_6979|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET36,1733,CAP16S,861,Aminoglycoside O-phosphotransferases,246,Acetate resistance,69
MEG_1000|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,1712,RRSC,741,Acid resistance protein,220,Sulfonamides,58
MEG_6654|Metals|Copper_resistance|Copper_resistance_protein|TCRZ,1588,TETT,727,Arsenic resistance protein,193,Nickel resistance,36
MEG_3648|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LSAE,1529,TET40,615,Phenicol resistance MFS efflux pumps,169,Phenolic compound resistance,32
MEG_6653|Metals|Copper_resistance|Copper_resistance_protein|TCRY,1499,ERMF,491,Biocide and metal resistance protein,163,Aminocoumarins,27
MEG_3980|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1472,TET44,478,Vancomycin-resistant mutation,149,Fusidic acid,26
MEG_3985|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1421,MEFB,387,Multi-metal resistance regulator,144,Pactamycin,11
MEG_7149|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,1359,TETX,383,Zinc resistance protein,137,Bacitracin,10
MEG_1554|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT,1338,LNUC,371,Drug and biocide MFS efflux regulator,134,Mercury resistance,10
MEG_8716|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,1302,DFRA,320,Multi-metal ABC efflux pumps,127,Chromium resistance,9
MEG_7126|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,1300,ERM,310,Drug and biocide and metal RND efflux pumps,122,Mupirocin,7
MEG_6971|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32,1254,TET39,287,Acid resistance regulator,119,Tellurium resistance,4
MEG_3982|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1214,MEFE,279,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,111,Metronidazole,2
MEG_3990|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1178,TETBP,260,Streptothricin acetyltransferase,107
MEG_6970|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32,1143,P23S,259,Lipid A modification,101
MEG_7156|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,1134,TETR,256,Fosfomycin target mutation,88
MEG_7181|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,1095,LNUA,256,Sodium resistance protein,86
MEG_925|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,1085,LNUG,256,Fluoroquinolone-resistant DNA topoisomerases,79
MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,1002,MSRE,250,Multi-biocide resistance regulator,79
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,992,TETA,245,Drug and biocide SMR efflux pumps,77
MEG_6131|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,983,TETB,231,Class D betalactamases,71
MEG_2785|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,884,MPHE,218,Acetate resistance protein,69
MEG_4074|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD,879,MSRG,210,Peroxide resistance stress protein,65
MEG_1490|Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation,861,MEFF,201,Bleomycin resistance protein,63
MEG_3824|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,803,CFX,184,Drug and biocide and metal RND efflux regulator,61
MEG_3994|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,801,LNUB,170,Sulfonamide-resistant dihydropteroate synthases,58
MEG_4073|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD,798,FLOR,164,Multi-metal RND efflux regulator,58
MEG_6146|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation,741,RPOC,149,Zinc resistance regulator,57
MEG_7165|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,671,ERMG,134,Biocide and metal ABC efflux pumps,57
MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,645,CTX,125,Penicillin binding protein,52
MEG_7161|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,641,EVGS,111,Mutant porin proteins,48
MEG_7109|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,615,RPOCL,111,Copper resistance regulator,47
MEG_7159|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,611,SAT,107,Colistin-resistant mutant,45
MEG_7229|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,603,APH3-DPRIME,103,Class C betalactamases,35
MEG_3814|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,542,ACRF,101,Nickel ABC efflux pumps,32
MEG_6121|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,518,MDTF,101,Drug and biocide MATE efflux pumps,32
MEG_7179|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,508,APH6,99,Multi-biocide SMR efflux pump,28
MEG_6991|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,445,LNUP,98,Aminocoumarin-resistant DNA topoisomerases,27
MEG_6963|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,441,MPHN,88,Fusidic acid-resistant mutation,26
MEG_7142|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,417,EMRK,84,Multi-biocide RND efflux pump,26
MEG_7307|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,392,CPXAR,81,MDR 23S rRNA mutation,26
MEG_7203|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETT,390,ACRE,80,peroxide resistance protein,20
MEG_3827|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFB,387,EMRY,74,Triclosan-resistant mutation,17
MEG_7129|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,371,EVGA,72,Drug and biocide ABC efflux pumps,17
MEG_3610|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC,368,OXA,71,Phenolic resistance protein,15
MEG_3991|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,361,CUSA,70,Multi-biocide resistance protein,15
MEG_3826|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,361,GADX,67,Pactamycin-resistant 16S ribosomal subunit protein,11
MEG_7153|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,356,ANT4-PRIME,66,Undecaprenyl pyrophosphate phosphatase,10
MEG_7202|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETT,337,ACRB,66,Mercury resistance protein,10
