Statistics
ARG_NUM_OF_READS,244224
ARG_READ_LENGTH_MEAN,3809.6369808045074
ARG_READ_LENGTH_MEDIAN,4010.0
ARG_READ_LENGTH_RANGE,"(77, 273419)"
ARG_READ_LENGTH_STD_DEV,1678.4736798762106
ARG_READ_LENGTH_VARIANCE,2817273.894037188
ARG_READ_LENGTH_SKEW,39.34534117598158
ARG_READ_LENGTH_KURTOSIS,4817.682830244643
ARG_NO_OUTLIERS_4_STDV_NUM_OF_READS,222325
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEAN,3931
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEDIAN,4040
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_RANGE,"(1523, 6497)"
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_STD_DEV,951.278613235891
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_VARIANCE,904931
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_SKEW,-0.22158061357505124
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_KURTOSIS,0.08790799366967317
Resistome
MEGARes Gene Header,Num Reads,Group,Num Reads,Mechanism,Num Reads,Class,Num Reads
MEG_6651|Metals|Copper_resistance|Copper_resistance_protein|TCRA,34367,MLS23S,52106,Copper resistance protein,99594,Copper resistance,99612
MEG_6652|Metals|Copper_resistance|Copper_resistance_protein|TCRB,25723,TETM,40293,Aminoglycoside-resistant 16S ribosomal subunit protein,57779,MLS,80592
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,25287,A16S,37069,Tetracycline resistance ribosomal protection proteins,55898,Aminoglycosides,76060
MEG_3992|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,21767,TCRA,34367,Macrolide-resistant 23S rRNA mutation,52106,Tetracyclines,68067
MEG_6654|Metals|Copper_resistance|Copper_resistance_protein|TCRZ,21575,TCRB,25723,Oxazolidinone-resistant 23S rRNA mutation,25335,Oxazolidinone,25335
MEG_6653|Metals|Copper_resistance|Copper_resistance_protein|TCRY,17860,O23S,25287,23S rRNA methyltransferases,20262,Elfamycins,3984
MEG_8680|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRS|RequiresSNPConfirmation,15373,TCRZ,21575,Aminoglycoside O-nucleotidyltransferases,17659,Glycopeptides,1896
MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,13572,TCRY,17860,Tetracycline resistance MFS efflux pumps,9261,Rifampin,1477
MEG_3975|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,12000,RRS,15373,EF-Tu inhibition,3984,Drug and biocide resistance,1227
MEG_7145|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,11986,ERMA,9088,Lincosamide nucleotidyltransferases,2894,betalactams,908
MEG_925|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,8285,ANT3-DPRIME,8897,MLS resistance MFS efflux pumps,2548,Fusidic acid,768
MEG_7094|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,7360,TETL,8655,Tetracycline-resistant 16S ribosomal subunit protein,2142,Multi-drug resistance,742
MEG_2785|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,6925,ERMC,5932,Bleomycin resistance protein,1769,Multi-metal resistance,539
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,6686,TETQ,4850,MLS resistance ABC efflux pumps,1672,Phenicol,506
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,6362,TETT,4717,Rifampin-resistant beta-subunit of RNA polymerase RpoB,1477,Lipopeptides,490
MEG_2808|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,5079,RRSA,4668,Macrolide phosphotransferases,1104,Cationic antimicrobial peptides,295
MEG_3988|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,4920,ANT6,4357,Fusidic acid-resistant mutation,768,Trimethoprim,249
MEG_7109|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,4808,TUFAB,3984,Class A betalactamases,738,Nucleosides,221
