Statistics
ARG_NUM_OF_READS,905
ARG_READ_LENGTH_MEAN,3365.311602209945
ARG_READ_LENGTH_MEDIAN,3188
ARG_READ_LENGTH_RANGE,"(315, 17915)"
ARG_READ_LENGTH_STD_DEV,1850.6407531026769
ARG_READ_LENGTH_VARIANCE,3424871.1970444433
ARG_READ_LENGTH_SKEW,1.4802640500019177
ARG_READ_LENGTH_KURTOSIS,5.560848787137706
ARG_NO_OUTLIERS_4_STDV_NUM_OF_READS,879
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEAN,3188
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEDIAN,3125
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_RANGE,"(315, 7637)"
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_STD_DEV,1518.595403654311
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_VARIANCE,2306132
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_SKEW,0.42785869868904725
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_KURTOSIS,-0.3237320781795403
Resistome
MEGARes Gene Header,Num Reads,Group,Num Reads,Mechanism,Num Reads,Class,Num Reads
MEG_3988|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,83,MLS23S,358,Macrolide-resistant 23S rRNA mutation,358,MLS,397
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,69,A16S,153,Aminoglycoside-resistant 16S ribosomal subunit protein,253,Aminoglycosides,264
MEG_8249|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,57,O23S,69,Oxazolidinone-resistant 23S rRNA mutation,71,Drug and biocide resistance,201
MEG_3990|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,41,TETQ,43,Tetracycline resistance ribosomal protection proteins,59,Tetracyclines,86
MEG_3977|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,39,EVGS,38,Drug and biocide RND efflux pumps,56,Oxazolidinone,71
MEG_6145|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation,38,RRSA,38,Drug and biocide MFS efflux pumps,50,Acid resistance,51
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,37,RRS,29,Drug and biocide RND efflux regulator,39,Multi-metal resistance,47
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,31,RPOB,26,Drug and biocide MFS efflux regulator,39,Rifampin,26
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,30,EVGA,25,Multi-metal resistance protein,33,Arsenic resistance,17
MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,30,EMRK,25,Acid resistance regulator,28,Multi-biocide resistance,17
MEG_8680|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRS|RequiresSNPConfirmation,29,EMRY,23,Rifampin-resistant beta-subunit of RNA polymerase RpoB,26,Biocide and metal resistance,15
MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,28,RRSH,20,Acid resistance protein,23,Sodium resistance,15
MEG_3975|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,28,ERMF,17,23S rRNA methyltransferases,18,Zinc resistance,15
MEG_2867|Biocides|Acid_resistance|Acid_resistance_regulator|EVGA,25,ACRE,15,Arsenic resistance protein,17,Elfamycins,13
MEG_2732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,22,TET16S,15,Drug and biocide SMR efflux pumps,17,Cationic antimicrobial peptides,12
MEG_6147|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation,20,YDEP,14,Sodium resistance protein,15,Fosfomycin,12
MEG_3980|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,19,TUFAB,13,Tetracycline-resistant 16S ribosomal subunit protein,15,betalactams,11
MEG_2736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY,19,ACRB,12,Biocide and metal resistance protein,14,Peroxide resistance,9
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,18,TETM,12,Multi-biocide resistance regulator,14,Multi-drug resistance,5
MEG_8251|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,18,RRSC,12,EF-Tu inhibition,13,Copper resistance,5
MEG_408|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRE,15,MDTF,11,Tetracycline resistance MFS efflux pumps,12,Glycopeptides,2
MEG_7820|Biocides|Acid_resistance|Acid_resistance_protein|YDEP,14,ACRS,11,Fosfomycin target mutation,12,Acetate resistance,2
MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,12,ACRF,10,MLS resistance MFS efflux pumps,11,Aminocoumarins,2
MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,12,ZNTR,10,Aminoglycoside O-nucleotidyltransferases,11,Trimethoprim,1
MEG_6135|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,12,DSBB,9,Zinc resistance regulator,10,Fusidic acid,1
MEG_2829|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,12,YDEO,9,Cationic peptide-resistant 16S ribosomal subunit protein,8
MEG_6146|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation,12,MDTJ,9,Multi-metal RND efflux pumps,7
MEG_3992|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,11,PTSL,8,MLS resistance ABC efflux pumps,7
MEG_3752|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF,11,NHAB,8,peroxide resistance protein,6
MEG_415|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRS,11,CAP16S,8,Copper resistance protein,5
MEG_7854|Metals|Zinc_resistance|Zinc_resistance_regulator|ZNTR,10,MDTI,8,Zinc resistance protein,5
MEG_6964|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,9,PSTS,7,Multi-drug ABC efflux pumps,4
MEG_7819|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|YDEO,9,MEFA,7,Lipid A modification,4
MEG_3757|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTJ,9,GADW,7,Multi-metal ABC efflux pumps,4
MEG_5819|Drugs|Fosfomycin|Fosfomycin_target_mutation|PTSL|RequiresSNPConfirmation,8,MARR,6,Mutant porin proteins,3
MEG_1490|Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation,8,ANT6,6,Class C betalactamases,3
MEG_2869|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,8,NHAA,6,Peroxide resistance stress protein,3
MEG_3756|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTI,8,CPXAR,5,Multi-biocide SMR efflux pump,3
MEG_2689|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBB,7,PITA,5,Class A betalactamases,3
MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,7,YIEF,5,Class C betalactamase regulator,2
MEG_3081|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW,7,PSTC,5,Vancomycin-resistant mutation,2
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,7,TETA,5,Macrolide phosphotransferases,2
MEG_5816|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTS,6,DSBA,5,Acetate resistance protein,2
MEG_3982|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,6,MSRD,5,Aminocoumarin-resistant DNA topoisomerases,2
MEG_3663|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARR,6,MARA,5,Multi-drug RND efflux pumps,1
MEG_7302|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,6,ARIR,5,Multi-metal RND efflux regulator,1
MEG_3986|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,6,TETB,4,Biocide and metal ABC efflux pumps,1
MEG_6963|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,6,MDTE,4,Dihydrofolate reductase,1
MEG_4162|Metals|Sodium_resistance|Sodium_resistance_protein|NHAA,6,SODA,4,Macrolide esterases,1
MEG_3994|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,6,OMPFB,3,Fusidic acid-resistant mutation,1
MEG_5787|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|PITA,5,CRP,3
MEG_410|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,5,BLAEC,3
MEG_7835|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YIEF,5,HDEA,3
MEG_5815|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTC,5,ASR,3
MEG_7014|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,5,UGD,3
MEG_2833|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,5,TEHB,3
MEG_7112|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,5,MURA,3
MEG_3662|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARA,5,PSTA,3
MEG_409|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,5,MSBA,3
MEG_4164|Metals|Sodium_resistance|Sodium_resistance_protein|NHAB,5,ANT9,3
MEG_3991|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,5,TCRB,3
MEG_1107|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|ARIR,5,TETBP,3
MEG_3817|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,4,SUGE,3
MEG_2688|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,4,ZNUA,3
MEG_8250|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,4,MEFC,3
MEG_8252|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,4,CTX,3
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,4,GADE,3
MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,4,MNTH,2
MEG_3751|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTE,4,YGIW,2
MEG_6540|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA,4,PSTB,2
MEG_2121|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,3,YDEI,2
MEG_4289|Drugs|betalactams|Mutant_porin_proteins|OMPFB|RequiresSNPConfirmation,3,TET44,2
MEG_2132|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CRP,3,GADX,2
MEG_1282|Drugs|betalactams|Class_C_betalactamases|BLAEC,3,AMPCR,2
MEG_3253|Biocides|Acid_resistance|Acid_resistance_protein|HDEA,3,CORA,2
MEG_1000|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,3,IBPB,2
MEG_1181|Biocides|Acid_resistance|Acid_resistance_protein|ASR,3,RPOC,2
MEG_7328|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|UGD,3,MPHG,2
MEG_6656|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHB,3,RCNA,2
MEG_4095|Drugs|Fosfomycin|Fosfomycin_target_mutation|MURA|RequiresSNPConfirmation,3,RCNB,2
MEG_5813|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTA,3,FIEF,2
MEG_4163|Metals|Sodium_resistance|Sodium_resistance_protein|NHAB,3,TETO,2
MEG_7301|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,3,ZINT,2
MEG_4061|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MSBA,3,CUSC,1
MEG_1004|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,3,CUSF,1
MEG_6652|Metals|Copper_resistance|Copper_resistance_protein|TCRB,3,LSAE,1
MEG_7055|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETBP,3,PMRF,1
MEG_6577|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE,3,GADA,1
MEG_4074|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD,3,MEFB,1
MEG_3828|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFC,3,RPSL,1
MEG_3080|Biocides|Acid_resistance|Acid_resistance_regulator|GADE,3,HNS,1
MEG_3998|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MNTH,2,CUSR,1
MEG_7831|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YGIW,2,ERMG,1
MEG_5814|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTB,2,SITABCD,1
MEG_7818|Biocides|Peroxide_resistance|peroxide_resistance_protein|YDEI,2,ZUPT,1
MEG_4073|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD,2,YODB,1
MEG_3083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADX,2,CUTC,1
MEG_7974|Drugs|betalactams|Class_C_betalactamase_regulator|AMPCR|RequiresSNPConfirmation,2,DFRA,1
MEG_2087|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA,2,HDEB,1
MEG_8|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,2,EREB,1
MEG_6138|Drugs|Glycopeptides|Vancomycin-resistant_mutation|RPOC|RequiresSNPConfirmation,2,FECE,1
MEG_4045|Drugs|MLS|Macrolide_phosphotransferases|MPHG,2,FUSA,1
