MEG_6048|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RCNA,2,CUSB,1
MEG_6049|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RCNB,2,ICLR,1
MEG_3826|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,2,PARE,1
MEG_2909|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FIEF,2,EMRR,1
MEG_2868|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,2,IBPA,1
MEG_7855|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUA,2
MEG_7146|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,2
MEG_7050|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,2
MEG_2690|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBB,2
MEG_7139|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,2
MEG_2430|Drugs|betalactams|Class_A_betalactamases|CTX,2
MEG_7145|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,2
MEG_1002|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,2
MEG_7849|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZINT,2
MEG_2448|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,1
MEG_2451|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSF,1
MEG_3648|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LSAE,1
MEG_5801|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|PMRF,1
MEG_3076|Biocides|Acid_resistance|Acid_resistance_protein|GADA,1
MEG_3827|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFB,1
MEG_8678|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RPSL|RequiresSNPConfirmation,1
MEG_3271|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|HNS,1
MEG_6998|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44,1
MEG_2452|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSR,1
MEG_2834|Drugs|MLS|23S_rRNA_methyltransferases|ERMG,1
MEG_3289|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPB,1
MEG_8700|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|SITABCD,1
MEG_7865|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ZUPT,1
MEG_7318|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,1
MEG_7314|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,1
MEG_3288|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPB,1
MEG_7841|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YODB,1
MEG_2122|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,1
MEG_2456|Metals|Copper_resistance|Copper_resistance_protein|CUTC,1
MEG_8068|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,1
MEG_7164|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,1
MEG_6103|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,1
MEG_3255|Biocides|Acid_resistance|Acid_resistance_protein|HDEB,1
MEG_2753|Drugs|MLS|Macrolide_esterases|EREB,1
MEG_2896|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECE,1
MEG_3065|Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation,1
MEG_2447|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSB,1
MEG_3291|Biocides|Acetate_resistance|Acetate_resistance_protein|ICLR,1
MEG_5382|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,1
MEG_2734|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EMRR,1
MEG_2435|Drugs|betalactams|Class_A_betalactamases|CTX,1
MEG_3287|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPA,1
