Statistics
ARG_NUM_OF_READS,151472
ARG_READ_LENGTH_MEAN,3994.909362786522
ARG_READ_LENGTH_MEDIAN,3958.0
ARG_READ_LENGTH_RANGE,"(169, 18468)"
ARG_READ_LENGTH_STD_DEV,1014.6637118227933
ARG_READ_LENGTH_VARIANCE,1029542.4480900086
ARG_READ_LENGTH_SKEW,0.4842024831303779
ARG_READ_LENGTH_KURTOSIS,5.605433099184962
ARG_NO_OUTLIERS_4_STDV_NUM_OF_READS,142927
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEAN,4012
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEDIAN,3967
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_RANGE,"(1975, 5941)"
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_STD_DEV,730.291037874627
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_VARIANCE,533325
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_SKEW,0.13023375603234608
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_KURTOSIS,-0.07596629220036366
Resistome
MEGARes Gene Header,Num Reads,Group,Num Reads,Mechanism,Num Reads,Class,Num Reads
MEG_3988|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,16103,MLS23S,30656,Tetracycline resistance ribosomal protection proteins,79697,Tetracyclines,82920
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,14984,TETQ,28421,Aminoglycoside-resistant 16S ribosomal subunit protein,30874,MLS,51327
MEG_3817|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,13394,TETO,26888,Macrolide-resistant 23S rRNA mutation,30656,Aminoglycosides,40164
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,10583,A16S,19443,MLS resistance MFS efflux pumps,16044,Oxazolidinone,10597
MEG_7154|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,9708,MEFA,14675,Oxazolidinone-resistant 23S rRNA mutation,10597,Cationic antimicrobial peptides,2071
MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,7942,TETW,11448,Aminoglycoside O-nucleotidyltransferases,9274,Rifampin,719
MEG_8680|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRS|RequiresSNPConfirmation,6797,O23S,10583,Lincosamide nucleotidyltransferases,2649,Elfamycins,521
MEG_3977|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,6402,ANT9,8329,Cationic peptide-resistant 16S ribosomal subunit protein,2046,Drug and biocide resistance,462
MEG_6991|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,6154,TET40,6989,Tetracycline resistance MFS efflux pumps,1946,betalactams,448
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,5056,RRS,6797,Tetracycline-resistant 16S ribosomal subunit protein,895,Pleuromutilin,378
MEG_1004|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,5030,RRSC,3123,MLS resistance ABC efflux pumps,794,Glycopeptides,333
