Statistics
ARG_NUM_OF_READS,157143
ARG_READ_LENGTH_MEAN,3905.202013452715
ARG_READ_LENGTH_MEDIAN,3991
ARG_READ_LENGTH_RANGE,"(66, 371775)"
ARG_READ_LENGTH_STD_DEV,1796.1476538047011
ARG_READ_LENGTH_VARIANCE,3226146.3942681327
ARG_READ_LENGTH_SKEW,62.61839881144603
ARG_READ_LENGTH_KURTOSIS,11772.056777643482
ARG_NO_OUTLIERS_4_STDV_NUM_OF_READS,147508
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEAN,3941
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEDIAN,4019.0
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_RANGE,"(1092, 6890)"
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_STD_DEV,1084.1605047224327
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_VARIANCE,1175404
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_SKEW,-0.42455509337131475
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_KURTOSIS,0.03542516585343858
Resistome
MEGARes Gene Header,Num Reads,Group,Num Reads,Mechanism,Num Reads,Class,Num Reads
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,16618,MLS23S,39255,Aminoglycoside-resistant 16S ribosomal subunit protein,41710,Aminoglycosides,42259
MEG_8680|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRS|RequiresSNPConfirmation,8702,A16S,24075,Macrolide-resistant 23S rRNA mutation,39255,MLS,42166
MEG_3988|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,7963,O23S,16618,Oxazolidinone-resistant 23S rRNA mutation,16658,Drug and biocide resistance,31391
MEG_8249|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,7430,RRS,8702,Tetracycline resistance ribosomal protection proteins,12514,Multi-metal resistance,20438
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,6353,TETQ,5347,Drug and biocide RND efflux pumps,11324,Oxazolidinone,16658
MEG_3977|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,5727,RRSH,4608,Drug and biocide RND efflux regulator,8268,Tetracyclines,14340
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,5430,TETO,3564,Multi-metal resistance protein,7697,Acid resistance,8139
MEG_6147|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation,4608,RRSA,2825,Drug and biocide MFS efflux pumps,6918,Biocide and metal resistance,6207
MEG_3990|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,3952,RPOB,2712,Acid resistance protein,5710,Arsenic resistance,5634
MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,3876,TUFAB,2368,Arsenic resistance protein,5270,Zinc resistance,4426
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,3773,MDTF,2326,Multi-metal RND efflux pumps,5113,betalactams,4121
MEG_3992|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,3232,CPXAR,2152,Biocide and metal resistance protein,4706,Drug and biocide and metal resistance,4108
MEG_6145|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation,2825,TETW,2109,Multi-metal ABC efflux pumps,3602,Multi-biocide resistance,4068
MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,2614,EVGS,1938,Zinc resistance protein,2760,Copper resistance,3551
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,2566,ACRF,1908,Rifampin-resistant beta-subunit of RNA polymerase RpoB,2714,Cationic antimicrobial peptides,3396
MEG_3978|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2381,TET16S,1685,Drug and biocide and metal RND efflux pumps,2711,Rifampin,2726
MEG_3752|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF,2326,ACRB,1677,Drug and biocide MFS efflux regulator,2632,Peroxide resistance,2710
MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,1850,MDTE,1543,Copper resistance protein,2613,Elfamycins,2368
MEG_8251|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1713,MODC,1512,Acid resistance regulator,2429,Fluoroquinolones,2167
MEG_6135|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,1671,CUSA,1473,EF-Tu inhibition,2368,Fosfomycin,2041
MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,1649,PSTC,1450,Multi-metal resistance regulator,2286,Acetate resistance,1705
MEG_3751|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTE,1543,LPDT,1433,Lipid A modification,2244,Sodium resistance,1703
MEG_2446|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSA,1473,EMRK,1422,Fluoroquinolone-resistant DNA topoisomerases,2167,Multi-drug resistance,1559
MEG_409|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,1454,ACRE,1405,Multi-biocide resistance regulator,2071,Nickel resistance,1430
MEG_5815|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTC,1450,EMRY,1388,Fosfomycin target mutation,2039,Lipopeptides,1011
MEG_3622|Biocides|Acetate_resistance|Acetate_resistance_protein|LPDT,1433,GADW,1381,Multi-metal RND efflux regulator,1740,Phenolic compound resistance,787
MEG_408|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRE,1405,PSTA,1378,Acetate resistance protein,1705,Aminocoumarins,740
MEG_6964|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,1396,PSTS,1299,Sodium resistance protein,1703,Sulfonamides,724
MEG_3081|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW,1379,ACRA,1272,Tetracycline-resistant 16S ribosomal subunit protein,1685,Chromium resistance,481
MEG_5813|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTA,1378,EVGA,1255,Zinc resistance regulator,1666,Pleuromutilin,413
MEG_7301|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,1348,CUSC,1236,Peroxide resistance stress protein,1581,Bacitracin,394
MEG_3994|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1282,CUSB,1214,Biocide and metal ABC efflux pumps,1501,Glycopeptides,89
MEG_2732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,1281,RRSC,1195,Penicillin binding protein,1498,Pactamycin,62
MEG_399|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA,1272,GADE,1174,MLS resistance MFS efflux pumps,1458,Phenicol,50
MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,1258,CAP16S,1152,Nickel ABC efflux pumps,1377,Fusidic acid,50
MEG_2867|Biocides|Acid_resistance|Acid_resistance_regulator|EVGA,1255,GADX,1148,Drug and biocide SMR efflux pumps,1195,Trimethoprim,27
