Statistics
ARG_NUM_OF_READS,145159
ARG_READ_LENGTH_MEAN,3189.8352840678153
ARG_READ_LENGTH_MEDIAN,3503
ARG_READ_LENGTH_RANGE,"(54, 266582)"
ARG_READ_LENGTH_STD_DEV,1928.5413743286124
ARG_READ_LENGTH_VARIANCE,3719271.832497293
ARG_READ_LENGTH_SKEW,17.66583203626805
ARG_READ_LENGTH_KURTOSIS,2397.5429613477013
ARG_NO_OUTLIERS_4_STDV_NUM_OF_READS,144712
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEAN,3166
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEDIAN,3496.0
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_RANGE,"(54, 8941)"
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_STD_DEV,1755.8667375401812
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_VARIANCE,3083068
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_SKEW,-0.11689877028551407
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_KURTOSIS,-0.9352600261052539
Resistome
MEGARes Gene Header,Num Reads,Group,Num Reads,Mechanism,Num Reads,Class,Num Reads
MEG_3988|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,15319,MLS23S,43551,Macrolide-resistant 23S rRNA mutation,43551,MLS,63187
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,10501,A16S,24559,Aminoglycoside-resistant 16S ribosomal subunit protein,40211,Aminoglycosides,45301
MEG_8680|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRS|RequiresSNPConfirmation,9787,TETQ,11383,Tetracycline resistance ribosomal protection proteins,35747,Tetracyclines,41066
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,8335,O23S,10501,Oxazolidinone-resistant 23S rRNA mutation,10572,Oxazolidinone,10572
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,7155,RRS,9787,MLS resistance MFS efflux pumps,9029,Drug and biocide resistance,5980
MEG_3817|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,7074,MEFA,8586,Aminoglycoside O-nucleotidyltransferases,4562,Multi-metal resistance,3602
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,6506,TETO,6811,23S rRNA methyltransferases,4257,Rifampin,2419
MEG_3978|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,5965,TETW,6505,MLS resistance ABC efflux pumps,3272,Elfamycins,1695
MEG_3992|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,5195,TET40,3734,Tetracycline-resistant 16S ribosomal subunit protein,2561,Acid resistance,1595
MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,3551,TETM,2863,Rifampin-resistant beta-subunit of RNA polymerase RpoB,2418,betalactams,1265
MEG_8249|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,3522,TET16S,2561,Drug and biocide RND efflux pumps,2344,Cationic antimicrobial peptides,1198
MEG_3977|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,3088,RPOB,2416,EF-Tu inhibition,1695,Biocide and metal resistance,1002
MEG_6991|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,2964,ANT9,2357,Lincosamide nucleotidyltransferases,1606,Arsenic resistance,1001
