MEG_3975|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2814,RRSH,2213,Drug and biocide RND efflux regulator,1589,Copper resistance,854
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,2705,ERMF,2104,Multi-metal resistance protein,1428,Phenicol,750
MEG_3990|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2561,RRSA,1962,Macrolide phosphotransferases,1366,Zinc resistance,731
MEG_1004|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,2247,TUFAB,1695,Tetracycline inactivation enzymes,1360,Drug and biocide and metal resistance,702
MEG_6147|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation,2213,RRSC,1634,Acid resistance protein,1123,Multi-biocide resistance,702
MEG_6964|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,2193,MSRE,1590,Drug and biocide MFS efflux pumps,1059,Multi-drug resistance,664
MEG_7229|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,2129,TET32,1534,Multi-metal RND efflux pumps,1030,Peroxide resistance,497
MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,2042,LNUC,1429,Arsenic resistance protein,956,Fosfomycin,398
MEG_6145|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation,1962,ANT6,1397,Cationic peptide-resistant 16S ribosomal subunit protein,947,Fluoroquinolones,384
MEG_6146|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation,1634,TETX,1360,Tetracycline resistance MFS efflux pumps,937,Sodium resistance,367
MEG_4075|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRE,1590,MSRD,1257,Biocide and metal resistance protein,842,Acetate resistance,263
MEG_7154|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,1438,MPHE,1244,Copper resistance protein,758,Pleuromutilin,215
MEG_3610|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC,1417,TET44,1194,Phenicol resistance MFS efflux pumps,523,Sulfonamides,195
MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,1291,TETT,1110,Aminoglycoside O-phosphotransferases,517,Glycopeptides,151
MEG_8716|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,1175,CAP16S,947,Multi-drug ABC efflux pumps,507,Phenolic compound resistance,146
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,1164,ERMA,798,Drug and biocide and metal RND efflux pumps,504,Lipopeptides,120
MEG_4044|Drugs|MLS|Macrolide_phosphotransferases|MPHE,1109,ANT3-DPRIME,742,Drug and biocide MFS efflux regulator,503,Nucleosides,117
MEG_6970|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32,979,ERMG,702,Zinc resistance protein,483,Aminocoumarins,100
MEG_7228|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,977,TET36,572,Acid resistance regulator,472,Nickel resistance,81
MEG_1490|Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation,947,FLOR,523,Multi-metal ABC efflux pumps,468,Chromium resistance,55
MEG_3980|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,926,MDTF,516,Multi-metal resistance regulator,460,Trimethoprim,50
MEG_2829|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,877,TET39,512,Tetracycline transcriptional repressor,439,Fusidic acid,42
MEG_7238|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,830,CPXAR,466,Class A betalactamases,420,Bacitracin,38
MEG_6997|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44,816,ACRF,440,Fosfomycin target mutation,398,Pactamycin,19
MEG_7181|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,776,TETR,439,Fluoroquinolone-resistant DNA topoisomerases,377,Mycobacterium tuberculosis-specific Drug,1
MEG_3994|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,720,EVGS,405,Multi-biocide resistance regulator,372
MEG_7150|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,704,ACRB,385,Sodium resistance protein,367
MEG_2833|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,689,CUSA,348,Peroxide resistance stress protein,296
MEG_4074|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD,669,MDTE,325,Acetate resistance protein,263
MEG_6131|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,668,LSA,293,Lipid A modification,251
MEG_925|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,644,GADE,286,Zinc resistance regulator,248
MEG_7307|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,603,ACRE,276,Drug and biocide SMR efflux pumps,241
MEG_7161|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,597,CUSB,272,Chloramphenicol acetyltransferases,223
MEG_4073|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD,588,ERM,267,Multi-metal RND efflux regulator,216
MEG_7112|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,573,PSTS,259,Pleuromutilin-resistant 23S rRNA mutation,215
MEG_6979|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET36,572,EMRK,252,Class D betalactamases,212
MEG_3982|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,571,MGTA,249,Penicillin binding protein,206
MEG_7203|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETT,570,PSTA,249,peroxide resistance protein,201
MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,559,GADX,243,Sulfonamide-resistant dihydropteroate synthases,195
MEG_6994|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,543,PSTC,242,Biocide and metal ABC efflux pumps,160
MEG_7202|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETT,540,LPDT,236,Class C betalactamases,152
MEG_6971|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32,538,GADA,233,Drug and biocide and metal RND efflux regulator,150
MEG_1000|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,530,YDEP,233,Multi-biocide RND efflux pump,142
MEG_3752|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF,516,GADW,230,Drug and biocide MATE efflux pumps,141
MEG_3985|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,497,APH6,225,Mutant porin proteins,138
MEG_2835|Drugs|MLS|23S_rRNA_methyltransferases|ERMG,496,ACRA,220,Streptothricin acetyltransferase,117
MEG_7149|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,442,CFX,220,Multi-biocide SMR efflux pump,110
MEG_7159|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,441,MSBA,216,Macrolide esterases,106
MEG_7195|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,439,P23S,215,Drug and biocide ABC efflux pumps,103
MEG_7226|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,427,MODC,215,Aminocoumarin-resistant DNA topoisomerases,100
MEG_2785|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,426,LSAE,214,Class C betalactamase regulator,99
MEG_7162|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,417,OXA,212,Copper resistance regulator,96
MEG_6100|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,412,APH3-DPRIME,209,Vancomycin-resistant mutation,96
MEG_6987|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET39,407,NHAB,207,Phenolic resistance protein,85
MEG_6135|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,402,ACRS,204,MDR 23S rRNA mutation,79
MEG_6121|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,393,EMRY,201,Nickel ABC efflux pumps,78
MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,384,PSTB,197,Multi-biocide resistance protein,78
MEG_6998|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44,378,CUSC,193,Colistin-resistant mutant,72
MEG_3824|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,378,YDEO,188,Triclosan-resistant mutation,61
MEG_7213|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,377,PARC,186,Chromium resistance protein,55
MEG_7227|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,376,EVGA,186,Multi-drug RND efflux pumps,55
MEG_6963|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,368,CUSF,182,Dihydrofolate reductase,50
MEG_7178|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,363,PTSL,178,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,48
MEG_3987|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,358,MEFB,170,Drug and biocide and metal resistance regulator,48
MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,357,MURA,168,Bleomycin resistance protein,46
MEG_7145|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,350,FOLP,166,Arsenic resistance regulator,45
MEG_2446|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSA,348,GADC,166,Fusidic acid-resistant mutation,42
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,336,ACRD,159,Undecaprenyl pyrophosphate phosphatase,38
MEG_7156|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,325,PITA,158,Tetracycline resistance MFS efflux regulator,22
MEG_3991|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,325,TCRA,155,Multi-drug RND efflux regulator,19
MEG_3751|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTE,325,GYRA,154,Pactamycin-resistant 16S ribosomal subunit protein,19
MEG_409|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,325,IBPB,153,Penicillin binding protein regulator,9
MEG_8|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,322,FIEF,146,Aminoglycoside efflux pumps,8
MEG_8251|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,321,IBPA,143,Quinolone resistance protein Qnr,7
MEG_7179|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,317,MDTK,141,VanC-type resistance protein,5
MEG_998|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,308,EMRA,141,MDR 23S ribosomal RNA methyltransferase,4
MEG_3641|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA,293,TOLC,140,Phenicol-resistant 23S rRNA mutation,4
MEG_7301|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,293,HDEA,140,VanC-type regulator,4
MEG_7217|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,287,SODA,137,Aminoglycoside N-acetyltransferases,3
MEG_3080|Biocides|Acid_resistance|Acid_resistance_regulator|GADE,286,GADB,137,Nickel ABC efflux regulator,3
MEG_2786|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,285,HDEB,136,Pyrazinamide-resistant mutant,1
MEG_408|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRE,276,ZNUA,135
MEG_2832|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,275,ZNUC,135
MEG_2447|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSB,272,TETL,135
MEG_3993|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,266,ACRR,135
MEG_7211|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,264,CAT,132
MEG_5813|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTA,249,MDTA,132
MEG_2121|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,247,MSRG,132
MEG_2930|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,246,RCNA,132
MEG_3083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADX,243,ERMB,129
MEG_5815|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTC,242,NHAA,129
MEG_3622|Biocides|Acetate_resistance|Acetate_resistance_protein|LPDT,236,MEFF,128
MEG_3976|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,234,DSBB,128
MEG_2768|Drugs|MLS|23S_rRNA_methyltransferases|ERM,234,ZUPT,127
MEG_3076|Biocides|Acid_resistance|Acid_resistance_protein|GADA,233,MODB,126
MEG_3984|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,233,ZNUB,125
MEG_7820|Biocides|Acid_resistance|Acid_resistance_protein|YDEP,233,TEHA,125
MEG_3081|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW,230,TEHB,124
MEG_7184|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,229,GLPF,122
MEG_5816|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTS,227,EMRB,122
MEG_399|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA,220,CUEO,120
MEG_7312|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,220,MODA,120
MEG_4061|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MSBA,216,MNTH,119
MEG_3648|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LSAE,214,BLAEC,118
MEG_7240|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,212,SAT,117
MEG_2732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,204,EPTA,116
MEG_415|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRS,204,ZRAR,115
MEG_5814|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTB,197,ROBA,115
MEG_3948|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|MGTA,197,RCNR,114
MEG_988|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,195,MARR,113
MEG_7109|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,195,TCRB,112
MEG_3816|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,195,SUGE,110
MEG_7218|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,189,CTX,110
MEG_7819|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|YDEO,188,MDTH,108
MEG_2867|Biocides|Acid_resistance|Acid_resistance_regulator|EVGA,186,RCNB,107
MEG_2451|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSF,182,CUSS,107
MEG_8443|Drugs|Pleuromutilin|Pleuromutilin-resistant_23S_rRNA_mutation|P23S|RequiresSNPConfirmation,181,DSBC,106
MEG_5819|Drugs|Fosfomycin|Fosfomycin_target_mutation|PTSL|RequiresSNPConfirmation,178,CUSR,104
MEG_7146|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,178,MARA,104
MEG_2122|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,171,YOGI,103
MEG_3827|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFB,170,MEFE,101
MEG_4095|Drugs|Fosfomycin|Fosfomycin_target_mutation|MURA|RequiresSNPConfirmation,168,PMRF,100
MEG_2736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY,167,AMPCR,99
MEG_7164|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,167,EMRR,98
MEG_3079|Biocides|Acid_resistance|Acid_resistance_protein|GADC,166,TETBP,98
MEG_7232|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,166,RPOC,96
MEG_7153|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,165,ZRAS,95
MEG_2834|Drugs|MLS|23S_rRNA_methyltransferases|ERMG,160,CRP,94
MEG_7302|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,159,ZINT,92
MEG_5787|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|PITA,158,PBP2,90
MEG_6651|Metals|Copper_resistance|Copper_resistance_protein|TCRA,155,TETA,89
MEG_7126|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,153,CATB,88
MEG_4164|Metals|Sodium_resistance|Sodium_resistance_protein|NHAB,150,TETB,88
MEG_8252|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,149,ZITB,88
MEG_7129|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,148,YIEF,87
MEG_7219|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,146,MDFA,86
MEG_2909|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FIEF,146,CORA,86
MEG_3287|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPA,143,FETB,84
MEG_3253|Biocides|Acid_resistance|Acid_resistance_protein|HDEA,140,CUTE,83
MEG_3289|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPB,140,RPOS,83
MEG_2831|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,140,APH2-DPRIME,82
MEG_3078|Biocides|Acid_resistance|Acid_resistance_protein|GADB,137,FABI,82
MEG_7859|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUC,135,MDR23S,79
MEG_4042|Drugs|MLS|Macrolide_phosphotransferases|MPHE,135,BAES,79
MEG_411|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,135,ASR,78
MEG_997|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,134,YJCG,78
MEG_3255|Biocides|Acid_resistance|Acid_resistance_protein|HDEB,133,ERED,77
MEG_2448|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,132,LNUA,76
MEG_6048|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RCNA,132,MDTI,75
MEG_7165|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,131,FETA,75
MEG_1086|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,131,OMPFB,74
MEG_2722|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRA,131,PMRAR,72
MEG_7137|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,129,RRL,71
MEG_4162|Metals|Sodium_resistance|Sodium_resistance_protein|NHAA,129,CUTC,71
MEG_3986|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,129,BAER,71
MEG_3759|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MDTK,128,ZUR,69
MEG_1554|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT,128,YGIW,69
MEG_3814|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,126,CFR,68
MEG_7858|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB,125,ANT4-PRIME,66
MEG_6540|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA,125,MDTJ,66
MEG_6655|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHA,125,CUTA,66
MEG_6656|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHB,124,YHCN,64
MEG_7222|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,122,AMPH,64
MEG_2440|Metals|Copper_resistance|Copper_resistance_protein|CUEO,120,MDTO,64
MEG_4002|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODA,120,ZNTR,64
MEG_2955|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,119,ERMX,62
MEG_3998|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MNTH,119,MDTC,62
MEG_3745|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTA,119,PARE,61
MEG_2689|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBB,119,FABG,61
MEG_7166|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,119,ERMC,60
MEG_2739|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|EPTA,116,MDTG,60
MEG_4750|Drugs|betalactams|Class_D_betalactamases|OXA,116,MNTP,59
MEG_410|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,115,RPSL,56
MEG_6082|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ROBA,115,NFSA,55
MEG_6050|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|RCNR,114,HNS,55
MEG_3663|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARR,113,MPHN,54
MEG_1|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,113,SOXRB,53
MEG_6992|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,112,MDTP,52
MEG_4006|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODB,112,OPTRA,51
MEG_6652|Metals|Copper_resistance|Copper_resistance_protein|TCRB,112,DFRA,50
