Statistics
ARG_NUM_OF_READS,169854
ARG_READ_LENGTH_MEAN,4012.2508625054456
ARG_READ_LENGTH_MEDIAN,4003.0
ARG_READ_LENGTH_RANGE,"(163, 16045)"
ARG_READ_LENGTH_STD_DEV,1023.3152489055568
ARG_READ_LENGTH_VARIANCE,1047174.0986426418
ARG_READ_LENGTH_SKEW,0.08702735817657753
ARG_READ_LENGTH_KURTOSIS,4.271135378875851
ARG_NO_OUTLIERS_4_STDV_NUM_OF_READS,159821
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEAN,4062
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEDIAN,4019
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_RANGE,"(1976, 6030)"
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_STD_DEV,742.7139422415604
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_VARIANCE,551624
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_SKEW,0.10419917934856573
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_KURTOSIS,-0.0236440343142732
Resistome
MEGARes Gene Header,Num Reads,Group,Num Reads,Mechanism,Num Reads,Class,Num Reads
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,17887,MLS23S,52478,Aminoglycoside-resistant 16S ribosomal subunit protein,54419,MLS,69975
MEG_8680|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRS|RequiresSNPConfirmation,12916,A16S,33302,Macrolide-resistant 23S rRNA mutation,52478,Aminoglycosides,61011
MEG_3975|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,9406,O23S,17887,Tetracycline resistance ribosomal protection proteins,32350,Tetracyclines,39706
MEG_3988|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,8898,RRS,12916,Oxazolidinone-resistant 23S rRNA mutation,17944,Oxazolidinone,17944
MEG_6979|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET36,8436,TET36,8436,23S rRNA methyltransferases,6924,Drug and biocide resistance,9875
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,8078,TETM,7853,Aminoglycoside O-nucleotidyltransferases,6074,Multi-metal resistance,6633
MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,7517,RRSA,4615,Copper resistance protein,5707,Copper resistance,6061
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,7285,TETQ,4520,MLS resistance MFS efflux pumps,4514,Elfamycins,2981
MEG_3992|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,6078,MEFA,3425,Drug and biocide RND efflux pumps,3212,Acid resistance,2589
MEG_3977|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,5856,TETW,3382,Tetracycline resistance MFS efflux pumps,3158,betalactams,2274
MEG_3978|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,5533,TETT,3024,EF-Tu inhibition,2981,Rifampin,2220
MEG_6145|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation,4615,TUFAB,2981,MLS resistance ABC efflux pumps,2942,Phenicol,2053
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,4373,TETO,2816,Drug and biocide RND efflux regulator,2357,Biocide and metal resistance,1800
MEG_8249|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,3938,ANT3-DPRIME,2768,Drug and biocide MFS efflux pumps,2274,Cationic antimicrobial peptides,1580
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,3699,ERMA,2464,Multi-metal resistance protein,2254,Arsenic resistance,1457
MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,3053,RRSH,2288,Tetracycline inactivation enzymes,2234,Drug and biocide and metal resistance,1406
MEG_3990|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,3004,TETX,2234,Rifampin-resistant beta-subunit of RNA polymerase RpoB,2219,Zinc resistance,1373
MEG_6147|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation,2288,RPOB,2184,Multi-metal RND efflux pumps,1944,Multi-biocide resistance,1245
MEG_925|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,2284,ERMF,2168,Acid resistance protein,1851,Multi-drug resistance,847
MEG_2785|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,2067,TETL,2166,Macrolide phosphotransferases,1683,Peroxide resistance,700
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,2003,ANT6,1896,Tetracycline-resistant 16S ribosomal subunit protein,1512,Fosfomycin,604
MEG_7238|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,1916,TCRA,1642,Arsenic resistance protein,1378,Fluoroquinolones,589
MEG_3985|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1831,MSRD,1533,Lincosamide nucleotidyltransferases,1342,Nickel resistance,513
MEG_7094|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,1732,TET16S,1512,Phenicol resistance MFS efflux pumps,1266,Sodium resistance,495
MEG_3980|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1649,FLOR,1266,Biocide and metal resistance protein,1266,Glycopeptides,459
MEG_6651|Metals|Copper_resistance|Copper_resistance_protein|TCRA,1642,RRSC,1230,Multi-metal ABC efflux pumps,1199,Lipopeptides,452
MEG_7229|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,1619,TCRB,1173,Cationic peptide-resistant 16S ribosomal subunit protein,1021,Acetate resistance,449
MEG_3817|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,1607,TCRZ,1062,Drug and biocide and metal RND efflux pumps,931,Trimethoprim,379
MEG_7203|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETT,1522,ANT9,1042,Zinc resistance protein,907,Nucleosides,365
MEG_7202|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETT,1502,CAP16S,1021,Drug and biocide SMR efflux pumps,860,Fusidic acid,365
MEG_7145|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,1452,ERMC,1002,Drug and biocide MFS efflux regulator,823,Phenolic compound resistance,248
MEG_7112|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,1422,TCRY,913,Chloramphenicol acetyltransferases,766,Sulfonamides,195
MEG_3982|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1418,TET40,889,Class A betalactamases,745,Pleuromutilin,191
MEG_6146|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation,1230,MPHN,848,Acid resistance regulator,738,Bacitracin,145
MEG_8251|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1209,MSRG,721,Multi-biocide resistance regulator,678,Aminocoumarins,138
MEG_6652|Metals|Copper_resistance|Copper_resistance_protein|TCRB,1173,CATB,708,Multi-metal resistance regulator,673,Chromium resistance,118
MEG_3824|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,1167,ERM,689,Multi-drug ABC efflux pumps,656,Pactamycin,38
MEG_4074|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD,1156,MEFF,657,Fluoroquinolone-resistant DNA topoisomerases,588,Mercury resistance,21
MEG_6964|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,1100,EVGS,591,Fosfomycin target mutation,578,Mycobacterium tuberculosis-specific Drug,11
MEG_6654|Metals|Copper_resistance|Copper_resistance_protein|TCRZ,1062,LNUG,561,Multi-metal RND efflux regulator,563,Tellurium resistance,9
MEG_1490|Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation,1021,MDTF,555,Lipid A modification,559,Iron resistance,2
MEG_7104|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,1002,ACRF,546,Biocide and metal ABC efflux pumps,534,Paraquat resistance,1
MEG_1004|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,993,TET32,546,Nickel ABC efflux pumps,497
MEG_2833|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,980,MODC,532,Sodium resistance protein,495
MEG_6653|Metals|Copper_resistance|Copper_resistance_protein|TCRY,913,CPXAR,529,Zinc resistance regulator,466
MEG_2829|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,876,LNUC,513,Aminoglycoside O-phosphotransferases,449
MEG_1000|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,866,TET44,481,Acetate resistance protein,449
MEG_4051|Drugs|MLS|Macrolide_phosphotransferases|MPHN,848,EMRK,468,Penicillin binding protein,430
MEG_7154|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,823,CUSA,460,Peroxide resistance stress protein,384
MEG_7109|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,799,CUSB,442,Dihydrofolate reductase,379
MEG_6991|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,781,MSRE,439,Tetracycline transcriptional repressor,366
MEG_8260|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRG,654,EVGA,424,Streptothricin acetyltransferase,365
MEG_2930|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,625,EMRY,415,Fusidic acid-resistant mutation,365
MEG_6131|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,602,GADW,412,Class D betalactamases,358
MEG_1617|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,597,CUSC,408,Copper resistance regulator,354
MEG_3620|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUG,561,ACRE,404,Drug and biocide and metal RND efflux regulator,353
MEG_3752|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF,555,TETS,403,peroxide resistance protein,316
MEG_7313|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,532,ACRB,398,Bleomycin resistance protein,299
MEG_3994|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,524,GADX,398,Class C betalactamases,287
MEG_3987|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,515,PSTC,382,Mutant porin proteins,251
MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,512,YDEP,374,Colistin-resistant mutant,245
MEG_3984|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,506,ANT4-PRIME,368,Multi-biocide RND efflux pump,240
MEG_2808|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,467,MPHE,368,Multi-biocide SMR efflux pump,206
MEG_2446|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSA,460,TETR,366,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,204
MEG_988|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,457,PSTA,366,Sulfonamide-resistant dihydropteroate synthases,195
MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,452,SAT,365,Pleuromutilin-resistant 23S rRNA mutation,191
MEG_7126|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,442,FUSA,365,Drug and biocide ABC efflux pumps,189
MEG_2447|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSB,442,GADA,365,Class C betalactamase regulator,178
MEG_4075|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRE,439,MEFC,363,Drug and biocide MATE efflux pumps,160
MEG_2732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,439,LPDT,361,Undecaprenyl pyrophosphate phosphatase,145
MEG_6970|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32,436,CUSF,359,Aminocoumarin-resistant DNA topoisomerases,138
MEG_3993|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,430,OXA,358,Phenolic resistance protein,128
MEG_7150|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,428,MDTE,358,Drug and biocide and metal resistance regulator,122
MEG_2768|Drugs|MLS|23S_rRNA_methyltransferases|ERM,424,MPHG,348,Multi-biocide resistance protein,120
MEG_2867|Biocides|Acid_resistance|Acid_resistance_regulator|EVGA,424,DFRA,341,Triclosan-resistant mutation,120
MEG_3610|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC,421,PSTS,320,Chromium resistance protein,118
MEG_409|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,412,ACRA,317,Vancomycin-resistant mutation,113
MEG_6963|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,412,MODB,315,Macrolide esterases,90
