Statistics
ARG_NUM_OF_READS,171278
ARG_READ_LENGTH_MEAN,2969.6589813052465
ARG_READ_LENGTH_MEDIAN,3250.0
ARG_READ_LENGTH_RANGE,"(54, 839121)"
ARG_READ_LENGTH_STD_DEV,3971.553495023904
ARG_READ_LENGTH_VARIANCE,15773237.163836587
ARG_READ_LENGTH_SKEW,107.29823096102753
ARG_READ_LENGTH_KURTOSIS,17546.43197665656
ARG_NO_OUTLIERS_4_STDV_NUM_OF_READS,169479
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEAN,2865
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEDIAN,3234
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_RANGE,"(54, 6489)"
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_STD_DEV,1316.1128371078219
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_VARIANCE,1732153
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_SKEW,-0.45605330870660427
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_KURTOSIS,-0.7427813361878193
Resistome
MEGARes Gene Header,Num Reads,Group,Num Reads,Mechanism,Num Reads,Class,Num Reads
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,20218,MLS23S,89509,Macrolide-resistant 23S rRNA mutation,89509,MLS,92265
MEG_3990|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,17286,A16S,47837,Aminoglycoside-resistant 16S ribosomal subunit protein,77998,Aminoglycosides,78579
MEG_8680|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRS|RequiresSNPConfirmation,15130,O23S,20218,Oxazolidinone-resistant 23S rRNA mutation,20493,Oxazolidinone,20493
MEG_8249|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,13867,RRS,15130,Tetracycline resistance ribosomal protection proteins,6369,Tetracyclines,10912
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,12993,RRSA,8050,Tetracycline-resistant 16S ribosomal subunit protein,3914,Drug and biocide resistance,4874
MEG_3988|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,10290,RRSH,4711,EF-Tu inhibition,2595,Multi-metal resistance,3388
MEG_3977|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,9983,TET16S,3914,Rifampin-resistant beta-subunit of RNA polymerase RpoB,2150,Elfamycins,2595
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,9763,TETQ,3616,Cationic peptide-resistant 16S ribosomal subunit protein,1770,Rifampin,2151
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,9489,TUFAB,2595,Chloramphenicol acetyltransferases,1650,Cationic antimicrobial peptides,2135
MEG_3975|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,9148,RRSC,2192,Copper resistance protein,1630,Phenicol,1812
MEG_6145|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation,8050,RPOB,2041,Drug and biocide RND efflux pumps,1616,Copper resistance,1739
MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,6682,CAP16S,1770,Multi-metal resistance protein,1243,betalactams,1301
MEG_3980|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,5423,CATB,1468,Drug and biocide MFS efflux pumps,1139,Nucleosides,1102
MEG_6147|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation,4711,SAT,1102,MLS resistance MFS efflux pumps,1103,Pleuromutilin,1057
MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,4633,P23S,1057,Streptothricin acetyltransferase,1102,Acid resistance,996
MEG_3992|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,4096,MEFA,679,Multi-metal RND efflux pumps,1057,Biocide and metal resistance,875
MEG_3978|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,3775,TETW,671,Pleuromutilin-resistant 23S rRNA mutation,1057,Drug and biocide and metal resistance,865
MEG_6964|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,2955,TETO,649,Drug and biocide RND efflux regulator,966,Arsenic resistance,746
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,2541,TETM,581,Acid resistance protein,769,Zinc resistance,660
MEG_3982|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2539,TET36,556,Biocide and metal resistance protein,686,Multi-drug resistance,604
MEG_6146|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation,2192,TCRA,472,Arsenic resistance protein,675,Multi-biocide resistance,557
MEG_3994|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1969,CUSA,407,Multi-metal ABC efflux pumps,641,Fosfomycin,506
MEG_8251|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1898,TCRB,388,Drug and biocide and metal RND efflux pumps,639,Glycopeptides,459
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,1844,MDTF,380,Drug and biocide SMR efflux pumps,581,Fluoroquinolones,445
MEG_1490|Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation,1770,ERMF,299,MLS resistance ABC efflux pumps,539,Peroxide resistance,343
MEG_1617|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,1426,MODC,293,Aminoglycoside O-nucleotidyltransferases,519,Nickel resistance,294
MEG_3985|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1421,ACRB,279,23S rRNA methyltransferases,496,Acetate resistance,244
MEG_3987|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1266,EVGS,278,Fluoroquinolone-resistant DNA topoisomerases,440,Sodium resistance,206
MEG_3976|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1209,RRL,275,Class A betalactamases,429,Pactamycin,174
MEG_8443|Drugs|Pleuromutilin|Pleuromutilin-resistant_23S_rRNA_mutation|P23S|RequiresSNPConfirmation,1036,CPXAR,275,Tetracycline resistance MFS efflux pumps,429,Aminocoumarins,156
MEG_3993|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1024,CUSB,260,Zinc resistance protein,417,Sulfonamides,135
MEG_6963|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,959,EMRK,255,Drug and biocide MFS efflux regulator,391,Phenolic compound resistance,121
MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,826,GYRA,254,Fosfomycin target mutation,376,Lipopeptides,118
MEG_8252|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,728,VANHD,254,Lipid A modification,364,Bacitracin,79
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,697,MSRD,251,Macrolide phosphotransferases,330,Trimethoprim,61
MEG_3991|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,677,EMRY,249,Nickel ABC efflux pumps,268,Fusidic acid,53
MEG_3984|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,658,EPTA,238,Multi-drug ABC efflux pumps,266,Chromium resistance,45
MEG_8250|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,571,MDR23S,236,Lincosamide nucleotidyltransferases,257,Mycobacterium tuberculosis-specific Drug,25
MEG_6979|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET36,556,OXA,228,VanD-type resistance protein,254,Biguanide resistance,6
MEG_7314|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,511,PITA,225,Multi-metal resistance regulator,248,Tellurium resistance,4
MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,476,GADC,221,Acetate resistance protein,244,Paraquat resistance,1
MEG_6651|Metals|Copper_resistance|Copper_resistance_protein|TCRA,472,ACRF,218,Penicillin binding protein,244
MEG_8254|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,456,PTSL,215,Zinc resistance regulator,243
MEG_8253|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,444,TCRZ,214,MDR 23S rRNA mutation,236
MEG_1|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,425,ANT3-DPRIME,209,Multi-biocide resistance regulator,236
MEG_2446|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSA,407,PSTA,205,Class D betalactamases,228
MEG_6652|Metals|Copper_resistance|Copper_resistance_protein|TCRB,388,LPDT,204,Acid resistance regulator,227
MEG_3752|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF,380,MEFC,190,Sodium resistance protein,206
MEG_3986|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,372,MSRG,188,Multi-biocide RND efflux pump,201
MEG_6127|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,347,MDTB,184,Multi-metal RND efflux regulator,199
MEG_8|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,340,GADW,179,Biocide and metal ABC efflux pumps,189
MEG_7320|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,330,CAT,178,Drug and biocide and metal RND efflux regulator,187
MEG_3817|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,321,ACRA,176,Class C betalactamases,184
MEG_7301|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,311,MSBA,174,peroxide resistance protein,182
MEG_7181|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,302,P16S,174,Pactamycin-resistant 16S ribosomal subunit protein,174
MEG_8679|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|RRL|RequiresSNPConfirmation,275,CUSF,172,Peroxide resistance stress protein,161
MEG_2447|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSB,260,CARB,169,Aminocoumarin-resistant DNA topoisomerases,156
MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,254,CUSC,168,Mutant porin proteins,139
MEG_6135|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,254,ANT6,168,Sulfonamide-resistant dihydropteroate synthases,135
MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,253,PSTS,163,Fosfomycin thiol transferases,130
MEG_7429|Drugs|Glycopeptides|VanD-type_resistance_protein|VANHD,244,MEFF,161,Phenicol-resistant 23S rRNA mutation,130
MEG_2739|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|EPTA,238,MPHG,161,Tetracycline inactivation enzymes,119
MEG_3740|Drugs|Multi-drug_resistance|MDR_23S_rRNA_mutation|MDR23S|RequiresSNPConfirmation,236,PSTB,159,Copper resistance regulator,109
