Statistics
ARG_NUM_OF_READS,158982
ARG_READ_LENGTH_MEAN,3791.139386848826
ARG_READ_LENGTH_MEDIAN,3776.0
ARG_READ_LENGTH_RANGE,"(190, 63355)"
ARG_READ_LENGTH_STD_DEV,958.448837689612
ARG_READ_LENGTH_VARIANCE,918624.1744685682
ARG_READ_LENGTH_SKEW,1.5424038392091386
ARG_READ_LENGTH_KURTOSIS,97.77442179038809
ARG_NO_OUTLIERS_4_STDV_NUM_OF_READS,148946
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEAN,3841
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEDIAN,3793.0
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_RANGE,"(1917, 5635)"
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_STD_DEV,675.7329354116166
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_VARIANCE,456615
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_SKEW,0.15783498129880583
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_KURTOSIS,0.01373080895794443
Resistome
MEGARes Gene Header,Num Reads,Group,Num Reads,Mechanism,Num Reads,Class,Num Reads
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,26462,MLS23S,98521,Macrolide-resistant 23S rRNA mutation,98521,MLS,98783
MEG_8680|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRS|RequiresSNPConfirmation,17668,A16S,63198,Aminoglycoside-resistant 16S ribosomal subunit protein,96518,Aminoglycosides,96558
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,16034,O23S,26462,Oxazolidinone-resistant 23S rRNA mutation,26559,Oxazolidinone,26559
MEG_3990|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,14252,RRS,17668,Tetracycline-resistant 16S ribosomal subunit protein,3851,Tetracyclines,4055
MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,13598,RRSA,7744,Cationic peptide-resistant 16S ribosomal subunit protein,2737,Cationic antimicrobial peptides,2777
MEG_8249|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,12322,RRSH,4182,Rifampin-resistant beta-subunit of RNA polymerase RpoB,1260,Rifampin,1269
MEG_3988|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,12142,TET16S,3851,EF-Tu inhibition,914,Elfamycins,914
MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,11022,RRSC,3722,Pleuromutilin-resistant 23S rRNA mutation,738,betalactams,799
MEG_3977|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,10627,CAP16S,2737,Class B betalactamases,464,Pleuromutilin,738
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,10189,RPOB,1243,Vancomycin-resistant mutation,232,Drug and biocide resistance,569
MEG_8251|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,8263,TUFAB,914,Class D betalactamases,209,Multi-metal resistance,432
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,7931,P23S,738,Drug and biocide RND efflux pumps,193,Glycopeptides,237
MEG_6145|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation,7744,RPOC,232,Tetracycline resistance ribosomal protection proteins,169,Acid resistance,170
MEG_3978|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,7658,OXA,209,Multi-metal RND efflux pumps,156,Copper resistance,125
MEG_3980|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,5627,RRL,97,Multi-metal resistance protein,140,Biocide and metal resistance,113
MEG_3992|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,4308,ERMF,87,Acid resistance protein,123,Multi-drug resistance,104
MEG_6147|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation,4182,MDR23S,70,Drug and biocide MFS efflux pumps,122,Drug and biocide and metal resistance,81
MEG_6146|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation,3722,MEFA,61,Drug and biocide RND efflux regulator,109,Multi-biocide resistance,73
MEG_3987|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,3471,EVGS,50,Copper resistance protein,103,Peroxide resistance,71
MEG_1490|Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation,2737,RPOCL,47,23S rRNA methyltransferases,93,Zinc resistance,68
MEG_3976|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2686,TETQ,46,Biocide and metal resistance protein,83,Lipopeptides,67
MEG_3994|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2682,MSRD,45,MLS resistance MFS efflux pumps,71,Fluoroquinolones,59
MEG_6964|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,2010,TETO,43,MDR 23S rRNA mutation,70,Fosfomycin,43
MEG_3975|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2008,FUSA,39,Drug and biocide SMR efflux pumps,66,Arsenic resistance,41
MEG_6963|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,1841,P16S,35,Drug and biocide MFS efflux regulator,62,Fusidic acid,39
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,1726,GYRA,34,Multi-metal RND efflux regulator,60,Sodium resistance,35
MEG_8252|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1561,CUSC,33,Fluoroquinolone-resistant DNA topoisomerases,59,Pactamycin,35
MEG_3982|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1452,CPXAR,32,Drug and biocide and metal RND efflux pumps,57,Nickel resistance,25
MEG_3991|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1347,CARB,32,Class A betalactamases,54,Acetate resistance,23
MEG_8254|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1341,CUSB,32,MLS resistance ABC efflux pumps,54,Aminocoumarins,19
MEG_8253|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1292,CUSA,31,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,47,Phenolic compound resistance,16
