MEG_3986|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1213,EMRK,30,Acid resistance regulator,47,Bacitracin,13
MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,1158,EVGA,29,Zinc resistance protein,41,Trimethoprim,11
MEG_3985|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1078,CUSR,28,Multi-metal resistance regulator,40,Sulfonamides,11
MEG_8250|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1077,EMRY,28,Lipid A modification,40,Phenicol,10
MEG_1|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,1035,CUSF,26,Arsenic resistance protein,39,Chromium resistance,6
MEG_3993|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1026,CUSS,26,Fusidic acid-resistant mutation,39,Mercury resistance,1
MEG_8443|Drugs|Pleuromutilin|Pleuromutilin-resistant_23S_rRNA_mutation|P23S|RequiresSNPConfirmation,713,ACRF,25,Multi-metal ABC efflux pumps,36
MEG_3984|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,564,TETW,25,peroxide resistance protein,36
MEG_6131|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,339,ADEK,25,Fosfomycin target mutation,36
MEG_3979|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,298,EPTA,25,Sodium resistance protein,35
MEG_6138|Drugs|Glycopeptides|Vancomycin-resistant_mutation|RPOC|RequiresSNPConfirmation,232,TCRA,24,Peroxide resistance stress protein,35
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,216,MDTF,23,Pactamycin-resistant 16S ribosomal subunit protein,35
MEG_8|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,216,ACRE,22,Multi-biocide resistance regulator,32
MEG_6121|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,214,MDTE,22,Macrolide phosphotransferases,31
MEG_7307|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,210,MPHN,21,Biocide and metal ABC efflux pumps,30
MEG_3983|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,159,CTX,20,Zinc resistance regulator,27
MEG_4425|Drugs|betalactams|Class_D_betalactamases|OXA,137,GADC,20,Aminoglycoside O-nucleotidyltransferases,25
MEG_7314|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,135,HDEB,20,Nickel ABC efflux pumps,25
MEG_7318|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,121,HDEA,19,Penicillin binding protein,23
MEG_6127|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,110,SODA,19,Acetate resistance protein,23
MEG_6120|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,109,IBPB,19,Copper resistance regulator,22
MEG_8679|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|RRL|RequiresSNPConfirmation,97,PMRAR,19,Tetracycline resistance MFS efflux pumps,19
MEG_7312|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,82,PARC,18,Mutant porin proteins,19
MEG_6100|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,80,ACRB,18,Aminocoumarin-resistant DNA topoisomerases,19
MEG_7320|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,70,TETM,18,Colistin-resistant mutant,19
MEG_3740|Drugs|Multi-drug_resistance|MDR_23S_rRNA_mutation|MDR23S|RequiresSNPConfirmation,70,GADB,18,Drug and biocide and metal RND efflux regulator,18
MEG_6099|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,60,LPDT,18,Multi-drug ABC efflux pumps,17
MEG_6135|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,59,GADE,18,Class C betalactamases,16
MEG_7304|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,57,YDEP,17,Multi-biocide SMR efflux pump,16
MEG_2833|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,54,ACRA,17,Multi-biocide RND efflux pump,14
MEG_7303|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,48,MDTO,17,Class C betalactamase regulator,14
MEG_6139|Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC|RPOCL|RequiresSNPConfirmation,47,MNTH,17,Lincosamide nucleotidyltransferases,13
MEG_7313|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,47,MURA,17,Undecaprenyl pyrophosphate phosphatase,13
MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,47,ACRS,17,Dihydrofolate reductase,11
MEG_4074|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD,40,ZRAS,17,Sulfonamide-resistant dihydropteroate synthases,11
MEG_3824|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,39,NHAA,17,Tetracycline inactivation enzymes,11
MEG_12|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,37,GADW,17,Multi-biocide resistance protein,11
MEG_3065|Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation,36,IBPA,16,Drug and biocide ABC efflux pumps,10
MEG_10|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,36,ZUPT,16,Aminoglycoside O-phosphotransferases,8
MEG_5322|Drugs|Pactamycin|Pactamycin-resistant_16S_ribosomal_subunit_protein|P16S|RequiresSNPConfirmation,35,TET36,16,Triclosan-resistant mutation,8
MEG_2447|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSB,32,ZRAR,16,Phenolic resistance protein,8
MEG_3989|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,31,PITA,16,Fosfomycin thiol transferases,7
MEG_2446|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSA,31,SUGE,16,Drug and biocide MATE efflux pumps,7
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,30,GADA,16,MDR mutation,7
MEG_6097|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,29,CUEO,15,Multi-drug RND efflux regulator,6
MEG_2867|Biocides|Acid_resistance|Acid_resistance_regulator|EVGA,29,MODC,15,Chromium resistance protein,6
MEG_2452|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSR,28,ACRD,15,Drug and biocide and metal resistance regulator,6
MEG_2829|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,27,FETA,15,Tetracycline transcriptional repressor,5
MEG_2732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,27,MSBA,15,Aminoglycoside efflux pumps,5
MEG_2736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY,27,MDTI,15,Rifampin phosphotransferase,5
MEG_2451|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSF,26,BLAEC,14,Phenicol resistance MFS efflux pumps,4
MEG_2453|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSS,26,RPOS,14,Rifampin ADP-ribosyltransferase Arr,4
MEG_6115|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,26,OMPFB,14,Chloramphenicol acetyltransferases,3
MEG_4679|Drugs|betalactams|Class_D_betalactamases|OXA,26,ZNUC,14,Phenicol-resistant 23S rRNA mutation,3
MEG_7301|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,26,AMPCR,14,Multi-drug RND efflux pumps,3
MEG_6122|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,25,YIEF,14,VanD-type resistance protein,3
MEG_5323|Drugs|Pleuromutilin|Pleuromutilin-resistant_23S_rRNA_mutation|P23S|RequiresSNPConfirmation,25,TEHA,14,Aminoglycoside N-acetyltransferases,2
MEG_2739|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|EPTA,25,ZNUA,14,Arsenic resistance regulator,2
MEG_6651|Metals|Copper_resistance|Copper_resistance_protein|TCRA,24,MDTB,14,VanF-type accessory protein,2
MEG_2448|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,24,MDTJ,14,Daptomycin-resistant mutant,1
MEG_3752|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF,23,TEHB,14,Mercury resistance regulator,1
MEG_408|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRE,22,FETB,14,MDR mutant porin proteins,1
MEG_3751|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTE,22,RCNR,14
MEG_4830|Drugs|betalactams|Class_D_betalactamases|OXA,22,NHAB,13
MEG_409|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,21,RCNA,13
MEG_4051|Drugs|MLS|Macrolide_phosphotransferases|MPHN,21,LNUC,13
MEG_694|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEK,21,BACA,13
MEG_6094|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,21,PTSL,13
MEG_6129|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,21,FIEF,13
MEG_3079|Biocides|Acid_resistance|Acid_resistance_protein|GADC,20,CUTE,13
MEG_6101|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,20,MDTC,13
MEG_3255|Biocides|Acid_resistance|Acid_resistance_protein|HDEB,20,EMRA,13
MEG_3253|Biocides|Acid_resistance|Acid_resistance_protein|HDEA,19,ASR,13
MEG_6540|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA,19,MDTG,12
MEG_7316|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,19,GADX,12
MEG_8634|Drugs|Lipopeptides|Colistin-resistant_mutant|PMRAR|RequiresSNPConfirmation,19,MDTN,12
MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,18,ZINT,12
MEG_3078|Biocides|Acid_resistance|Acid_resistance_protein|GADB,18,PBP2,12
MEG_3622|Biocides|Acetate_resistance|Acetate_resistance_protein|LPDT,18,NIKA,12
MEG_3080|Biocides|Acid_resistance|Acid_resistance_regulator|GADE,18,EMRR,12
MEG_6096|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,18,DSBB,12
MEG_7820|Biocides|Acid_resistance|Acid_resistance_protein|YDEP,17,PSTC,11
MEG_399|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA,17,TOLC,11
MEG_7319|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,17,PCOA,11
MEG_3764|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTO,17,ANT3-DPRIME,11
MEG_3998|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MNTH,17,PARE,11
MEG_4095|Drugs|Fosfomycin|Fosfomycin_target_mutation|MURA|RequiresSNPConfirmation,17,TETX,11
MEG_7305|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,17,SODB,11
MEG_415|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRS,17,CRP,11
MEG_7864|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|ZRAS,17,YJCG,11
MEG_4162|Metals|Sodium_resistance|Sodium_resistance_protein|NHAA,17,ANT9,11
MEG_3081|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW,17,MODA,11
MEG_3287|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPA,16,MDTP,11
MEG_6108|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,16,RCNB,10
MEG_7308|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,16,TET40,10
MEG_3289|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPB,16,YOGI,10
MEG_6979|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET36,16,ZNUB,10
MEG_7862|Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR,16,PSTA,10
MEG_5787|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|PITA,16,BAES,10
MEG_3076|Biocides|Acid_resistance|Acid_resistance_protein|GADA,16,ACRR,10
MEG_2440|Metals|Copper_resistance|Copper_resistance_protein|CUEO,15,SILP,10
MEG_2121|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,15,FOLP,10
MEG_2898|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETA,15,PSTS,10
MEG_4061|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MSBA,15,DSBC,10
MEG_3756|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTI,15,GLPF,10
MEG_6132|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,14,CUTF,10
MEG_6107|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,14,DFRA,9
MEG_6141|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|RPOS,14,MDTA,9
MEG_4289|Drugs|betalactams|Mutant_porin_proteins|OMPFB|RequiresSNPConfirmation,14,YDEO,9
MEG_7859|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUC,14,MDFA,9
MEG_7974|Drugs|betalactams|Class_C_betalactamase_regulator|AMPCR|RequiresSNPConfirmation,14,MGTA,9
MEG_7835|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YIEF,14,PMRF,9
MEG_6655|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHA,14,MODB,9
MEG_7865|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ZUPT,14,MPHB,9
MEG_7302|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,14,GYRBA,8
MEG_7855|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUA,14,MDTH,8
MEG_3747|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTB,14,PSTB,8
MEG_3757|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTJ,14,NIKB,8
MEG_6656|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHB,14,TET44,8
MEG_2899|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETB,14,BAER,8
MEG_6050|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|RCNR,14,CUER,8
MEG_6048|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RCNA,13,FABG,8
MEG_7315|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,13,AMPH,8
MEG_3610|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC,13,FABI,8
MEG_5819|Drugs|Fosfomycin|Fosfomycin_target_mutation|PTSL|RequiresSNPConfirmation,13,ZNTA,7
MEG_2909|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FIEF,13,MDTK,7
MEG_3187|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,13,MDTM,7
MEG_2457|Metals|Copper_resistance|Copper_resistance_protein|CUTE,13,MNTR,7
MEG_3749|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTC,13,ZNTR,7
MEG_2722|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRA,13,MRPOB,7
MEG_1181|Biocides|Acid_resistance|Acid_resistance_protein|ASR,13,MVRC,6
MEG_3817|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,12,ASMA,6
MEG_3083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADX,12,GIM,6
MEG_3763|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTN,12,CORC,6
MEG_7849|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZINT,12,NFSA,6
MEG_5400|Drugs|betalactams|Penicillin_binding_protein|PBP2,12,SOXS,6
MEG_4167|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKA,12,SOXRB,6
MEG_2734|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EMRR,12,EMRB,6
MEG_6577|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE,12,MNTP,6
MEG_2689|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBB,12,SILS,6
MEG_5815|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTC,11,YDEI,6
MEG_1279|Drugs|betalactams|Class_C_betalactamases|BLAEC,11,SILC,6
MEG_5416|Metals|Copper_resistance|Copper_resistance_protein|PCOA,11,UGD,6
MEG_407|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,11,SILA,6
MEG_2132|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CRP,11,ROBA,6
MEG_7837|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_protein|YJCG,11,YGJH,5
MEG_4002|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODA,11,TETR,5
MEG_3765|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTP,11,ICLR,5
MEG_6049|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RCNB,10,SILF,5
MEG_6991|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,10,MARA,5
MEG_4164|Metals|Sodium_resistance|Sodium_resistance_protein|NHAB,10,BCR,5
MEG_7842|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|YOGI,10,YGIW,5
MEG_3753|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTG,10,CHAA,5
MEG_7858|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB,10,SILB,5
